nr. clients,Avg. T Queue (ms)
180,3.1482877273472063
190,3.508517726078596
200,3.54206306787814
210,3.93603502589567
220,4.328029538330766
230,4.593140407288317
240,4.5891971192317955
250,5.129640933096256
