Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
get, 24293500, 438600, 1009500, 15280891247518, 15280903273018, 15280903711618, 15280903721918, 15280904731418, 15280915541018, true
set, 19969600, 6122500, 1860300, 15280870825018, 15280870887518, 15280877010018, 15280877013918, 15280878874218, 15280890794618, true
set, 28855900, 27179100, 1397800, 15280889182318, 15280889191418, 15280916370518, 15280916372618, 15280917770418, 15280918038218, true
get, 10938200, 7128300, 3772200, 15281049835218, 15281049844918, 15281056973218, 15281056976018, 15281060748218, 15281060773418, true
get, 15828600, 8019800, 7746600, 15281094463818, 15281094472718, 15281102492518, 15281102495018, 15281110241618, 15281110292418, true
get, 469200, 28500, 407700, 15281121928318, 15281121936418, 15281121964918, 15281121973618, 15281122381318, 15281122397518, true
get, 1195300, 893000, 279300, 15281159036018, 15281159043418, 15281159936418, 15281159938818, 15281160218118, 15281160231318, true
get, 10040700, 355500, 9650900, 15281176185418, 15281176193018, 15281176548518, 15281176550918, 15281186201818, 15281186226118, true
get, 2312800, 1483700, 805700, 15281197490918, 15281197499218, 15281198982918, 15281198985418, 15281199791118, 15281199803718, true
get, 1860800, 1505500, 329800, 15281208058818, 15281208066218, 15281209571718, 15281209574018, 15281209903818, 15281209919618, true
get, 7616900, 6947000, 642500, 15281230680418, 15281230687718, 15281237634718, 15281237637118, 15281238279618, 15281238297318, true
get, 21632300, 2644700, 9779800, 15281248316618, 15281257498018, 15281260142718, 15281260146118, 15281269925918, 15281269948918, true
get, 10534600, 10023200, 487900, 15281334165618, 15281334173918, 15281344197118, 15281344199418, 15281344687318, 15281344700218, true
get, 9313100, 1833000, 7455700, 15281345394818, 15281345401118, 15281347234118, 15281347236018, 15281354691718, 15281354707918, true
get, 7616700, 6211000, 1383400, 15281356782618, 15281356789518, 15281363000518, 15281363002618, 15281364386018, 15281364399318, true
get, 1129400, 731300, 377000, 15281374949918, 15281374955818, 15281375687118, 15281375689418, 15281376066418, 15281376079318, true
get, 1375700, 27000, 1327200, 15281394134618, 15281394141318, 15281394168318, 15281394170818, 15281395498018, 15281395510318, true
get, 8776700, 1077700, 7677800, 15281412498418, 15281412504618, 15281413582318, 15281413585118, 15281421262918, 15281421275118, true
get, 1184000, 858700, 303600, 15281432873418, 15281432879318, 15281433738018, 15281433740218, 15281434043818, 15281434057418, true
get, 5837900, 3544400, 2271200, 15281457992518, 15281457999418, 15281461543818, 15281461546018, 15281463817218, 15281463830418, true
get, 2481000, 1690800, 769600, 15281472795818, 15281472802918, 15281474493718, 15281474496018, 15281475265618, 15281475276818, true
get, 8170100, 7664600, 484000, 15281477278118, 15281477284118, 15281484948718, 15281484950718, 15281485434718, 15281485448218, true
get, 7553200, 104700, 7428300, 15281496537918, 15281496545318, 15281496650018, 15281496652018, 15281504080318, 15281504091118, true
get, 3180900, 2829400, 329600, 15281511317718, 15281511323818, 15281514153218, 15281514155618, 15281514485218, 15281514498618, true
get, 9367100, 4445300, 4901000, 15281527887118, 15281527892918, 15281532338218, 15281532340018, 15281537241018, 15281537254218, true
get, 13206800, 3348300, 9838500, 15281525181918, 15281525188518, 15281528536818, 15281528538818, 15281538377318, 15281538388718, true
get, 8955300, 1308500, 7626300, 15281542966718, 15281542973318, 15281544281818, 15281544283718, 15281551910018, 15281551922018, true
get, 1387800, 842400, 522900, 15281562020418, 15281562028018, 15281562870418, 15281562872718, 15281563395618, 15281563408218, true
get, 8273000, 7600500, 651700, 15281581351518, 15281581358718, 15281588959218, 15281588961218, 15281589612918, 15281589624518, true
get, 6963800, 6584200, 358500, 15281592395418, 15281592401518, 15281598985718, 15281598988418, 15281599346918, 15281599359218, true
get, 505000, 25900, 461900, 15281608976118, 15281608982618, 15281609008518, 15281609010718, 15281609472618, 15281609481118, true
set, 7499700, 11600, 7391300, 15281609808718, 15281609815018, 15281609826618, 15281609828618, 15281617219918, 15281617308418, true
get, 10025800, 199000, 9808200, 15281619523018, 15281619529118, 15281619728118, 15281619730118, 15281629538318, 15281629548818, true
get, 12007000, 2306300, 9683800, 15281636885418, 15281636891418, 15281639197718, 15281639199618, 15281648883418, 15281648892418, true
get, 11378400, 1359700, 9999800, 15281647634318, 15281647641418, 15281649001118, 15281649004318, 15281659004118, 15281659012718, true
get, 8528500, 854700, 7655400, 15281657469218, 15281657475218, 15281658329918, 15281658331918, 15281665987318, 15281665997718, true
get, 2366600, 1888900, 459900, 15281674293718, 15281674299518, 15281676188418, 15281676190818, 15281676650718, 15281676660318, true
get, 2898300, 2302900, 574500, 15281683877318, 15281683885118, 15281686188018, 15281686190518, 15281686765018, 15281686775618, true
get, 14697500, 4649600, 10030600, 15281693612618, 15281693618218, 15281698267818, 15281698269618, 15281708300218, 15281708310118, true
get, 13294100, 2835000, 10441800, 15281695604818, 15281695610518, 15281698445518, 15281698447518, 15281708889318, 15281708898918, true
get, 7423300, 6919700, 482100, 15281708942818, 15281708949718, 15281715869418, 15281715871018, 15281716353118, 15281716366118, true
get, 1336400, 17700, 1301500, 15281726941018, 15281726946718, 15281726964418, 15281726966418, 15281728267918, 15281728277418, true
set, 686900, 6100, 601100, 15281729173318, 15281729179918, 15281729186018, 15281729187818, 15281729788918, 15281729860218, true
get, 588000, 22900, 546200, 15281753344818, 15281753350918, 15281753373818, 15281753376218, 15281753922418, 15281753932818, true
get, 893200, 319700, 555800, 15281756221618, 15281756227718, 15281756547418, 15281756549218, 15281757105018, 15281757114818, true
get, 6997800, 22300, 6946300, 15281766549918, 15281766556218, 15281766578518, 15281766581118, 15281773527418, 15281773547718, true
get, 1162500, 372300, 765800, 15281783882618, 15281783890318, 15281784262618, 15281784265718, 15281785031518, 15281785045118, true
get, 7165800, 6385100, 759200, 15281786549318, 15281786555318, 15281792940418, 15281792942418, 15281793701618, 15281793715118, true
get, 653300, 100400, 535000, 15281803404718, 15281803412918, 15281803513318, 15281803515218, 15281804050218, 15281804058018, true
get, 305000, 19700, 265800, 15281823263618, 15281823268918, 15281823288618, 15281823290918, 15281823556718, 15281823568618, true
get, 15032400, 5389300, 9625600, 15281813125518, 15281813132118, 15281818521418, 15281818524518, 15281828150118, 15281828157918, true
get, 648400, 93900, 538400, 15281833061018, 15281833066318, 15281833160218, 15281833162118, 15281833700518, 15281833709418, true
get, 436200, 21100, 393200, 15281842646718, 15281842651818, 15281842672918, 15281842675418, 15281843068618, 15281843082918, true
get, 14098300, 122200, 6903200, 15281845103418, 15281852163718, 15281852285918, 15281852288518, 15281859191718, 15281859201718, true
get, 7708700, 26000, 7664100, 15281872120418, 15281872125518, 15281872151518, 15281872154818, 15281879818918, 15281879829118, true
get, 6512500, 5635300, 861100, 15281874189818, 15281874194818, 15281879830118, 15281879832018, 15281880693118, 15281880702318, true
get, 719000, 124600, 580100, 15281884307218, 15281884312318, 15281884436918, 15281884438518, 15281885018618, 15281885026218, true
get, 801400, 22300, 760900, 15281893842818, 15281893849918, 15281893872218, 15281893874518, 15281894635418, 15281894644218, true
get, 671900, 45600, 609400, 15281903662218, 15281903668218, 15281903713818, 15281903715618, 15281904325018, 15281904334118, true
get, 402700, 122100, 258700, 15281914071218, 15281914076518, 15281914198618, 15281914201718, 15281914460418, 15281914473918, true
get, 7702500, 6811900, 877800, 15281924530418, 15281924533618, 15281931345518, 15281931347618, 15281932225418, 15281932232918, true
get, 7530000, 17700, 7497900, 15281933546418, 15281933549818, 15281933567518, 15281933569618, 15281941067518, 15281941076418, true
get, 7263100, 5773300, 1477400, 15281944795018, 15281944798118, 15281950571418, 15281950573118, 15281952050518, 15281952058118, true
get, 9797700, 17800, 9766500, 15281942818818, 15281942822018, 15281942839818, 15281942841818, 15281952608318, 15281952616518, true
set, 30303200, 11136400, 19092700, 15281923385418, 15281923391418, 15281934527818, 15281934529518, 15281953622218, 15281953688618, true
get, 34650100, 26048200, 8578400, 15281978571318, 15281978576918, 15282004625118, 15282004627118, 15282013205518, 15282013221418, true
get, 105367100, 44348500, 31003200, 15281954287318, 15281954290118, 15281998638618, 15281998640918, 15282029644118, 15282059654418, true
get, 574200, 16900, 545800, 15282081700718, 15282081703818, 15282081720718, 15282081722518, 15282082268318, 15282082274918, true
get, 670600, 163700, 494500, 15282091512218, 15282091515718, 15282091679418, 15282091681918, 15282092176418, 15282092182818, true
get, 31854800, 3330800, 28512200, 15282093907718, 15282093910518, 15282097241318, 15282097242818, 15282125755018, 15282125762518, true
get, 1436600, 628200, 797000, 15282131306918, 15282131310018, 15282131938218, 15282131940118, 15282132737118, 15282132743518, true
get, 20316700, 10982000, 9322700, 15282116778418, 15282116780918, 15282127762918, 15282127764418, 15282137087118, 15282137095118, true
get, 5674700, 3241400, 2420900, 15282140541718, 15282140544718, 15282143786118, 15282143787918, 15282146208818, 15282146216418, true
get, 14499800, 6126200, 8361300, 15282141798418, 15282141801218, 15282147927418, 15282147929218, 15282156290518, 15282156298218, true
get, 13851100, 3593000, 10239000, 15282154645218, 15282154647918, 15282158240918, 15282158242618, 15282168481618, 15282168496318, true
get, 13638200, 4749900, 8877100, 15282166061618, 15282166064518, 15282170814418, 15282170816518, 15282179693618, 15282179699818, true
get, 1258300, 388300, 858900, 15282176441118, 15282176444118, 15282176832418, 15282176834318, 15282177693218, 15282177699418, true
get, 1234400, 492700, 731400, 15282185926118, 15282185929118, 15282186421818, 15282186423618, 15282187155018, 15282187160518, true
get, 626300, 184500, 430000, 15282195567418, 15282195570118, 15282195754618, 15282195756418, 15282196186418, 15282196193718, true
get, 8888600, 7056700, 1820400, 15282198507918, 15282198510918, 15282205567618, 15282205569318, 15282207389718, 15282207396518, true
get, 8030700, 18800, 7997400, 15282207971018, 15282207973918, 15282207992718, 15282207994918, 15282215992318, 15282216001718, true
get, 532800, 69600, 452100, 15282217157418, 15282217160318, 15282217229918, 15282217231818, 15282217683918, 15282217690218, true
set, 7538600, 6240400, 1229400, 15282228310018, 15282228313118, 15282234553518, 15282234555118, 15282235784518, 15282235848618, true
get, 16266500, 22500, 16232700, 15282227234018, 15282227236718, 15282227259218, 15282227261118, 15282243493818, 15282243500518, true
get, 1145600, 215600, 918700, 15282245653518, 15282245656218, 15282245871818, 15282245873418, 15282246792118, 15282246799118, true
get, 2107700, 1011500, 979500, 15282244173218, 15282244176118, 15282245187618, 15282245189718, 15282246169218, 15282246280918, true
get, 658100, 351800, 294000, 15282254114318, 15282254117118, 15282254468918, 15282254470518, 15282254764518, 15282254772418, true
get, 11189000, 1566900, 9610900, 15282256019518, 15282256022318, 15282257589218, 15282257590718, 15282267201618, 15282267208518, true
get, 7725400, 117700, 7595400, 15282265243318, 15282265245918, 15282265363618, 15282265365818, 15282272961218, 15282272968718, true
get, 9197800, 16000, 9170700, 15282275526218, 15282275529218, 15282275545218, 15282275546918, 15282284717618, 15282284724018, true
get, 12280000, 2833700, 9435200, 15282274020418, 15282274023018, 15282276856718, 15282276858318, 15282286293518, 15282286300418, true
get, 5188600, 3997000, 1175500, 15282308310218, 15282308312918, 15282312309918, 15282312311418, 15282313486918, 15282313498818, true
get, 17627500, 7846800, 9769000, 15282299788518, 15282299791218, 15282307638018, 15282307640818, 15282317409818, 15282317416018, true
get, 12405600, 4004900, 8388600, 15282338831618, 15282338834218, 15282342839118, 15282342841118, 15282351229718, 15282351237218, true
get, 15548100, 5862500, 9673400, 15282337919218, 15282337921818, 15282343784318, 15282343786518, 15282353459918, 15282353467318, true
get, 2211500, 1755800, 441200, 15282360295318, 15282360298018, 15282362053818, 15282362057418, 15282362498618, 15282362506818, true
get, 12615700, 2577800, 10027200, 15282350688718, 15282350691418, 15282353269218, 15282353271118, 15282363298318, 15282363304418, true
get, 641100, 280600, 340300, 15282370006318, 15282370009618, 15282370290218, 15282370291818, 15282370632118, 15282370647418, true
get, 9049700, 8491200, 543800, 15282372015618, 15282372018318, 15282380509518, 15282380514518, 15282381058318, 15282381065318, true
get, 11442400, 1677300, 9753300, 15282380920418, 15282380923018, 15282382600318, 15282382603318, 15282392356618, 15282392362818, true
get, 10204300, 9851800, 341800, 15282401240918, 15282401244518, 15282411096318, 15282411097718, 15282411439518, 15282411445218, true
set, 12102700, 2390000, 9636000, 15282399566418, 15282399573618, 15282401963618, 15282401965118, 15282411601118, 15282411669118, true
get, 17639300, 4919600, 12708700, 15282399707118, 15282399709918, 15282404629518, 15282404631618, 15282417340318, 15282417346418, true
get, 9099000, 6550600, 2534000, 15282420344318, 15282420346918, 15282426897518, 15282426899118, 15282429433118, 15282429443318, true
get, 1747100, 1450200, 282800, 15282439171618, 15282439175018, 15282440625218, 15282440629118, 15282440911918, 15282440918718, true
get, 8715000, 7412600, 1292400, 15282443361118, 15282443363818, 15282450776418, 15282450778518, 15282452070918, 15282452076118, true
