Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
set, 41775300, 5521700, 10165800, 18057635459700, 18057635523300, 18057641045000, 18057641048900, 18057651214700, 18057677235000, true
set, 1636800, 209800, 612800, 18057723144300, 18057723158000, 18057723367800, 18057723372000, 18057723984800, 18057724781100, true
set, 8117100, 7204000, 686500, 18057729773800, 18057729785100, 18057736989100, 18057736991600, 18057737678100, 18057737890900, true
set, 7494800, 8200, 7312200, 18057758387900, 18057758397100, 18057758405300, 18057758408000, 18057765720200, 18057765882700, true
set, 20142900, 3382400, 16444200, 18057776511800, 18057776522200, 18057779904600, 18057779906500, 18057796350700, 18057796654700, true
set, 18194400, 6200, 17845200, 18057799037400, 18057799056500, 18057799062700, 18057799064800, 18057816910000, 18057817231800, true
set, 9740500, 1035400, 8390700, 18057817151000, 18057817174800, 18057818210200, 18057818212600, 18057826603300, 18057826891500, true
set, 12284100, 2148300, 9877400, 18057835572400, 18057835601000, 18057837749300, 18057837753900, 18057847631300, 18057847856500, true
set, 6709000, 5723800, 617800, 18057845863500, 18057845870800, 18057851594600, 18057851608400, 18057852226200, 18057852572500, true
set, 1699600, 761200, 597700, 18057871955300, 18057871967500, 18057872728700, 18057872733100, 18057873330800, 18057873654900, true
set, 19774000, 769000, 18772000, 18057855598800, 18057855606700, 18057856375700, 18057856377700, 18057875149700, 18057875372800, true
set, 3513900, 2554400, 768100, 18057888547400, 18057888554600, 18057891109000, 18057891111100, 18057891879200, 18057892061300, true
set, 911500, 59400, 515000, 18057910926300, 18057910932400, 18057910991800, 18057910993800, 18057911508800, 18057911837800, true
set, 17305000, 7721100, 9330600, 18057898883800, 18057898890800, 18057906611900, 18057906614300, 18057915944900, 18057916188800, true
set, 7883000, 20700, 7683700, 18057921604100, 18057921610200, 18057921630900, 18057921633200, 18057929316900, 18057929487100, true
set, 7316700, 31500, 7105200, 18057931924200, 18057931930600, 18057931962100, 18057931964000, 18057939069200, 18057939240900, true
set, 15344700, 5442600, 9734400, 18057943167700, 18057943175200, 18057948617800, 18057948621600, 18057958356000, 18057958512400, true
set, 15685100, 6276200, 8919000, 18057952837000, 18057952843700, 18057959119900, 18057959121600, 18057968040600, 18057968522100, true
set, 10318000, 289900, 9865700, 18057963456700, 18057963463600, 18057963753500, 18057963755400, 18057973621100, 18057973774700, true
set, 1807700, 1012500, 593400, 18057990646800, 18057990652800, 18057991665300, 18057991667800, 18057992261200, 18057992454500, true
set, 12573900, 3139400, 9212600, 18057980920300, 18057980926700, 18057984066100, 18057984068000, 18057993280600, 18057993494200, true
set, 13557400, 3891200, 9470900, 18058009203400, 18058009209900, 18058013101100, 18058013103100, 18058022574000, 18058022760800, true
set, 14648400, 5077000, 9376800, 18058027386800, 18058027394200, 18058032471200, 18058032473200, 18058041850000, 18058042035200, true
set, 691400, 6700, 579900, 18058047211000, 18058047217300, 18058047224000, 18058047226200, 18058047806100, 18058047902400, true
set, 21689100, 2799100, 18634200, 18058037763200, 18058037769400, 18058040568500, 18058040570200, 18058059204400, 18058059452300, true
set, 8506100, 6308300, 2012500, 18058058949100, 18058058966300, 18058065274600, 18058065276400, 18058067288900, 18058067455200, true
set, 1053000, 27900, 901900, 18058077002600, 18058077009100, 18058077037000, 18058077039700, 18058077941600, 18058078055600, true
set, 11028200, 1807500, 8973500, 18058086907300, 18058086913900, 18058088721400, 18058088723300, 18058097696800, 18058097935500, true
set, 2638800, 1973100, 589400, 18058096478500, 18058096486300, 18058098459400, 18058098461500, 18058099050900, 18058099117300, true
set, 3470500, 944500, 1430600, 18058113159300, 18058113165800, 18058114110300, 18058114123100, 18058115553700, 18058116629800, true
set, 5936000, 4705800, 1112300, 18058133405200, 18058133414800, 18058138120600, 18058138122800, 18058139235100, 18058139341200, true
set, 762000, 6500, 648500, 18058147738600, 18058147744700, 18058147751200, 18058147753300, 18058148401800, 18058148500600, true
set, 37981900, 28325900, 8904900, 18058122080300, 18058122086900, 18058150412800, 18058150414500, 18058159319400, 18058160062200, true
set, 15158600, 5575500, 9289300, 18058158677900, 18058158684100, 18058164259600, 18058164261300, 18058173550600, 18058173836500, true
set, 22687500, 3388000, 19044600, 18058168792400, 18058168798700, 18058172186700, 18058172188200, 18058191232800, 18058191479900, true
set, 8304900, 7237600, 977200, 18058200825200, 18058200830400, 18058208068000, 18058208069800, 18058209047000, 18058209130100, true
set, 14044000, 4292400, 9541000, 18058198854200, 18058198859300, 18058203151700, 18058203153200, 18058212694200, 18058212898200, true
set, 2120400, 1430500, 586300, 18058216191200, 18058216195700, 18058217626200, 18058217627400, 18058218213700, 18058218311600, true
set, 2205100, 1169500, 879900, 18058237163900, 18058237168900, 18058238338400, 18058238339800, 18058239219700, 18058239369000, true
set, 15072200, 5740700, 9096100, 18058226454500, 18058226460300, 18058232201000, 18058232202500, 18058241298600, 18058241526700, true
set, 11236800, 1378200, 9725400, 18058247060900, 18058247066800, 18058248445000, 18058248446500, 18058258171900, 18058258297700, true
set, 597900, 68800, 430100, 18058267403200, 18058267408500, 18058267477300, 18058267478700, 18058267908800, 18058268001100, true
set, 11167900, 1904000, 9139500, 18058257084300, 18058257089800, 18058258993800, 18058258995500, 18058268135000, 18058268252200, true
set, 10484200, 816100, 9194000, 18058270485800, 18058270491700, 18058271307800, 18058271309000, 18058280503000, 18058280970000, true
set, 1610300, 6200, 1521600, 18058281428200, 18058281433400, 18058281439600, 18058281441300, 18058282962900, 18058283038500, true
set, 16582100, 6803900, 9662100, 18058283805900, 18058283810600, 18058290614500, 18058290616000, 18058300278100, 18058300388000, true
