Time (sec), Avg. Resp. Time (us), StDev (us)
2500,12332.333333333334,12315.173333333332
2520,12455.666666666666,15658.543333333333
2540,12328.666666666666,11049.590000000002
2560,12636.333333333334,20558.386666666665
2580,13075.0,14884.876666666665
2600,13250.0,19101.63
2620,12768.666666666666,14992.676666666666
2640,12584.0,12175.159999999998
2660,12257.0,10704.699999999999
2680,12419.0,12952.550000000001
2700,13187.666666666666,24404.316666666666
2720,12709.0,12972.043333333335
2740,12423.666666666666,14682.416666666666
2760,13499.333333333334,18763.756666666668
2780,12153.666666666666,24880.649999999998
2800,12656.0,12168.316666666666
2820,13578.666666666666,25205.079999999998
2840,13144.0,17966.123333333333
2860,13832.0,22086.906666666666
2880,12954.666666666666,18363.376666666667
2900,12821.333333333334,16394.5
2920,12315.0,11283.616666666667
2940,12344.0,15074.113333333333
2960,11998.0,10822.11
2980,12164.333333333334,9650.033333333333
3000,13089.333333333334,15155.143333333333
3020,12660.666666666666,13864.83
3040,13299.0,31333.66333333333
3060,12447.0,31905.106666666663
3080,12992.333333333334,16032.85
3100,12832.666666666666,15254.006666666668
3120,12865.333333333334,16651.829999999998
3140,13347.666666666666,19503.466666666664
3160,13152.666666666666,16804.103333333333
3180,12569.666666666666,12710.9
3200,12900.666666666666,17113.166666666668
3220,12901.333333333334,20305.01
3240,15801.666666666666,67467.14666666667
3260,13092.666666666666,18382.406666666666
3280,12828.666666666666,22415.86333333333
3300,12197.0,9615.36
3320,12311.333333333334,10806.256666666666
3340,15077.333333333334,68815.95666666667
3360,13802.333333333334,39156.59333333333
3380,12301.0,11246.183333333332
3400,12839.0,14846.82
3420,13268.666666666666,16389.75
3440,13820.0,39975.71333333334
3460,13006.333333333334,25150.97333333333
3480,12724.0,11615.409999999998
3500,12500.0,11582.483333333332
3520,12160.333333333334,13516.853333333333
3540,12322.0,23151.579999999998
3560,12372.0,13276.61
3580,13094.666666666666,17274.74666666667
3600,13249.333333333334,24295.050000000003
