nr. clients,Avg. Agg. TPS (ops/sec)
180,14934.491666666669
190,15163.687499999998
200,15432.099999999999
210,15275.787499999999
220,15471.116666666669
230,15266.212499999998
240,15484.345833333333
250,15356.704166666666
