Time (sec), Avg. Response Time (us)
146,11582.666666666666
147,13443.333333333334
148,11296.0
149,11915.333333333334
150,11143.0
151,10149.333333333334
152,10545.333333333334
153,12689.666666666666
154,13486.333333333334
155,11693.666666666666
156,12034.0
157,13116.0
158,12851.333333333334
159,12861.666666666666
160,13277.333333333334
161,14648.0
162,11185.0
163,11327.0
164,11005.333333333334
165,11325.0
166,11875.666666666666
167,10078.333333333334
168,12291.333333333334
169,14638.0
170,12198.666666666666
171,12232.333333333334
172,12137.0
173,11813.333333333334
174,11331.333333333334
175,11826.666666666666
176,11217.0
177,11296.333333333334
178,11069.666666666666
179,11205.0
180,10968.666666666666
181,10904.666666666666
182,11311.333333333334
183,11791.666666666666
184,11582.0
185,11579.0
186,12680.333333333334
187,14266.333333333334
188,13590.333333333334
189,12144.666666666666
190,10645.333333333334
191,11310.666666666666
192,12120.0
193,12129.666666666666
194,11318.0
195,10603.666666666666
196,12362.0
197,13736.0
198,13685.0
199,13411.333333333334
200,15211.666666666666
201,13103.0
202,11295.0
203,11658.666666666666
204,11293.333333333334
205,11086.666666666666
206,11350.666666666666
207,11007.666666666666
208,11918.666666666666
209,12562.666666666666
210,13499.333333333334
211,13835.333333333334
212,12339.666666666666
213,12199.333333333334
214,12001.666666666666
215,11733.333333333334
216,12016.333333333334
217,12013.333333333334
218,11560.333333333334
219,11120.0
220,11223.333333333334
221,11230.666666666666
222,11555.666666666666
223,11997.666666666666
224,14248.333333333334
225,12443.666666666666
226,10564.333333333334
227,11239.0
228,11258.0
229,11603.666666666666
230,12047.333333333334
231,13116.666666666666
232,15772.666666666666
233,15755.666666666666
234,12194.333333333334
235,11181.333333333334
236,10979.333333333334
237,11419.333333333334
238,9880.666666666666
239,10462.0
240,11683.666666666666
241,10862.0
242,10915.666666666666
243,11256.666666666666
244,12100.666666666666
245,11792.333333333334
246,11530.333333333334
247,11937.333333333334
248,12480.0
249,12739.666666666666
250,12549.333333333334
251,11712.0
252,11112.0
253,11750.666666666666
254,11139.0
255,11398.333333333334
256,10733.666666666666
257,11269.666666666666
258,11061.0
259,11901.333333333334
260,11918.333333333334
261,12084.333333333334
262,12890.666666666666
263,12759.0
264,12165.333333333334
265,10764.0
266,9864.666666666666
267,9962.666666666666
268,10713.0
269,10881.0
270,11033.333333333334
271,10946.666666666666
272,10383.666666666666
273,12008.0
274,12232.666666666666
275,12613.666666666666
276,10350.666666666666
277,10943.666666666666
278,10413.0
279,11743.333333333334
280,12190.666666666666
281,12737.0
282,13096.0
283,11953.666666666666
284,11126.666666666666
285,11154.333333333334
286,11011.0
287,10734.333333333334
288,10883.0
289,10340.0
290,10179.666666666666
291,13488.666666666666
292,14148.0
293,11109.666666666666
294,11330.666666666666
295,10757.0
296,11901.666666666666
297,11739.666666666666
298,12487.0
299,11977.666666666666
300,12364.0
301,13460.666666666666
302,12523.333333333334
303,11595.666666666666
304,11162.0
305,11068.0
306,10952.666666666666
307,12165.333333333334
308,11261.333333333334
309,11144.0
