Time (sec), Avg. Response Time (us), Standard deviation (us)
201,13103.0,22223.160000000003
202,11295.0,7994.216666666667
203,11658.666666666666,8321.63
204,11293.333333333334,6337.206666666668
205,11086.666666666666,5816.21
206,11350.666666666666,7103.846666666667
207,11007.666666666666,6788.293333333332
208,11918.666666666666,10081.853333333334
209,12562.666666666666,14573.233333333332
210,13499.333333333334,19074.97333333333
211,13835.333333333334,18076.466666666667
212,12339.666666666666,12075.683333333334
213,12199.333333333334,9494.39
214,12001.666666666666,10604.866666666667
215,11733.333333333334,11072.460000000001
216,12016.333333333334,10572.109999999999
217,12013.333333333334,9895.766666666668
218,11560.333333333334,8114.453333333334
219,11120.0,6536.546666666666
220,11223.333333333334,5759.63
221,11230.666666666666,5910.900000000001
222,11555.666666666666,7345.656666666667
223,11997.666666666666,10555.756666666666
224,14248.333333333334,21201.18
225,12443.666666666666,14623.493333333334
226,10564.333333333334,5614.283333333333
227,11239.0,7038.7266666666665
228,11258.0,7277.563333333333
229,11603.666666666666,8372.853333333334
230,12047.333333333334,9286.023333333333
231,13116.666666666666,18600.18333333333
232,15772.666666666666,28858.513333333332
233,15755.666666666666,27811.726666666666
234,12194.333333333334,15528.083333333334
235,11181.333333333334,8587.473333333333
236,10979.333333333334,5941.633333333332
237,11419.333333333334,8047.7699999999995
238,9880.666666666666,6877.933333333334
239,10462.0,7957.87
240,11683.666666666666,10523.806666666665
241,10862.0,9654.000000000002
242,10915.666666666666,8118.68
243,11256.666666666666,6537.963333333333
244,12100.666666666666,12984.183333333334
245,11792.333333333334,9760.616666666667
246,11530.333333333334,6968.016666666667
247,11937.333333333334,6826.813333333333
248,12480.0,11053.333333333334
249,12739.666666666666,11779.143333333333
250,12549.333333333334,10852.413333333334
251,11712.0,8275.91
252,11112.0,7933.259999999999
253,11750.666666666666,8759.016666666668
254,11139.0,10745.81
255,11398.333333333334,11756.11
256,10733.666666666666,8874.37
257,11269.666666666666,10689.07
258,11061.0,8306.463333333333
259,11901.333333333334,10784.583333333334
260,11918.333333333334,9762.916666666666
261,12084.333333333334,14778.896666666667
262,12890.666666666666,16623.55
263,12759.0,14374.823333333334
264,12165.333333333334,14017.696666666665
265,10764.0,7142.94
266,9864.666666666666,5233.786666666667
267,9962.666666666666,6445.366666666666
268,10713.0,6631.89
269,10881.0,5530.88
270,11033.333333333334,5778.8
271,10946.666666666666,5251.04
272,10383.666666666666,5064.996666666667
273,12008.0,12466.803333333335
274,12232.666666666666,12483.133333333333
275,12613.666666666666,12945.873333333335
276,10350.666666666666,7750.663333333333
277,10943.666666666666,8177.693333333333
278,10413.0,5334.54
279,11743.333333333334,14311.46
280,12190.666666666666,15867.803333333335
281,12737.0,15027.38
282,13096.0,17633.556666666667
283,11953.666666666666,11104.686666666666
284,11126.666666666666,6861.110000000001
285,11154.333333333334,6738.779999999999
286,11011.0,6120.413333333333
287,10734.333333333334,5641.733333333334
288,10883.0,7213.8
289,10340.0,7777.183333333333
290,10179.666666666666,6131.376666666666
291,13488.666666666666,23060.263333333332
292,14148.0,30918.553333333333
293,11109.666666666666,14855.150000000001
294,11330.666666666666,9918.626666666665
295,10757.0,6852.083333333333
296,11901.666666666666,9468.769999999999
297,11739.666666666666,14567.903333333335
298,12487.0,16402.176666666666
299,11977.666666666666,13647.866666666669
300,12364.0,13221.089999999998
301,13460.666666666666,20281.97333333333
302,12523.333333333334,17224.083333333336
303,11595.666666666666,17069.963333333333
304,11162.0,10331.203333333333
305,11068.0,13152.220000000001
306,10952.666666666666,9308.713333333333
307,12165.333333333334,12499.44
308,11261.333333333334,11607.403333333334
309,11144.0,7892.846666666667
310,10371.0,7383.606666666667
311,10033.333333333334,7092.433333333333
312,11366.0,7626.420000000001
313,11508.0,6075.916666666667
314,16552.333333333332,15728.343333333332
315,14357.0,17487.486666666668
316,12603.666666666666,11922.896666666666
317,10901.0,6835.673333333332
318,10957.666666666666,7681.079999999999
319,10519.666666666666,6348.203333333334
320,10855.666666666666,6984.266666666666
321,11316.0,7296.959999999999
322,11075.333333333334,7833.1033333333335
323,10576.333333333334,6198.056666666666
324,10454.0,5483.69
325,11451.666666666666,8258.39
326,11347.0,9249.013333333334
