Time (sec), Avg. Response Time (us), Standard deviation (us)
265,10665.0,5325.59
266,9421.0,5165.22
267,10619.0,7247.7
268,10994.0,6372.54
269,10912.0,4978.28
270,11260.0,6100.54
271,10768.0,4990.09
272,10633.0,5672.9
273,14067.0,24312.71
274,11602.0,6386.48
275,12155.0,7934.68
276,9454.0,8683.69
277,11509.0,6314.7
278,10013.0,4773.34
279,12395.0,18785.61
280,13529.0,22598.04
281,13850.0,16500.03
282,11805.0,11700.09
283,11162.0,7375.05
284,11325.0,6404.61
285,11174.0,6957.08
286,11402.0,6021.26
287,10628.0,5888.84
288,10398.0,7693.48
289,10247.0,7593.89
290,10502.0,5713.58
291,18235.0,53149.21
292,10620.0,5613.91
293,10655.0,10764.26
294,11565.0,9431.89
295,10453.0,5518.42
296,13930.0,14630.3
297,12411.0,22157.27
298,12655.0,13232.05
299,10684.0,6444.91
300,12802.0,14080.47
301,14134.0,23892.59
302,12151.0,13720.15
303,11528.0,18231.94
304,11170.0,7441.33
305,11146.0,16329.43
306,10822.0,5058.51
307,13514.0,18049.01
308,10793.0,8688.0
309,10966.0,4999.08
310,10473.0,10154.63
311,10023.0,5896.66
312,11952.0,6315.54
313,11650.0,6012.26
314,21925.0,22814.7
315,12124.0,14861.26
316,11505.0,8450.56
317,10724.0,5901.74
318,11270.0,8689.83
319,10705.0,5850.63
320,11471.0,8468.99
321,11579.0,6445.78
322,10521.0,7472.93
323,10642.0,5378.14
324,10765.0,5616.76
325,12044.0,9617.17
326,11423.0,9110.97
327,11656.0,6592.98
328,11992.0,7648.86
329,11196.0,7876.07
330,10579.0,4794.12
331,13270.0,13603.96
332,10975.0,5621.44
333,10392.0,5281.79
334,11424.0,6886.1
335,10974.0,6049.75
336,11961.0,8683.17
337,11231.0,5173.3
338,12112.0,10749.03
339,10830.0,5653.1
340,12361.0,12728.4
341,12691.0,11977.65
342,11817.0,8313.91
343,12672.0,11243.69
344,12250.0,8615.69
345,11706.0,8758.89
346,12650.0,9090.06
347,13281.0,14053.53
348,15254.0,28620.62
349,11735.0,12392.97
350,13149.0,12520.54
351,12644.0,11215.99
352,11322.0,6347.69
353,10750.0,5413.77
354,12670.0,9495.91
355,10568.0,5073.01
356,12178.0,8848.45
357,11530.0,7755.8
358,10989.0,6342.19
359,15054.0,27189.99
360,11250.0,6654.66
361,11449.0,8253.68
362,11736.0,10804.7
363,16396.0,37758.94
364,10771.0,5128.08
365,12213.0,13118.24
366,12707.0,12535.0
367,15110.0,38587.82
368,10683.0,6975.95
369,11292.0,8662.21
370,11030.0,6339.58
371,11799.0,8421.06
372,14176.0,25887.66
373,11016.0,5662.21
374,11897.0,13750.37
375,11540.0,10706.3
376,12075.0,9953.71
377,14043.0,17642.92
378,12823.0,11926.01
379,19070.0,39279.45
380,11670.0,22801.67
381,11866.0,8317.62
382,11162.0,6300.04
383,13236.0,27177.82
384,12000.0,9337.88
385,10649.0,5697.35
386,11764.0,10082.27
387,12735.0,15475.88
388,11639.0,7742.31
389,10988.0,7649.47
390,11330.0,6085.42
391,13073.0,12523.99
392,13800.0,15275.0
393,10829.0,5063.0
394,13401.0,12218.53
395,10887.0,6320.14
396,12174.0,11185.64
397,12518.0,17066.47
398,13335.0,18264.32
399,13648.0,15885.07
400,12388.0,12823.67
401,13087.0,10993.77
402,11495.0,6266.24
403,12484.0,11785.16
404,13230.0,14986.66
405,13423.0,15432.42
406,11045.0,5432.08
407,11116.0,4589.33
408,11548.0,5672.29
409,11041.0,7291.14
410,12043.0,13364.38
411,14526.0,33072.61
412,13531.0,15221.83
413,10256.0,6363.85
414,12179.0,13251.82
415,11952.0,17715.51
416,10278.0,5695.12
417,13212.0,18403.65
418,10769.0,5110.37
419,12858.0,13857.5
420,11188.0,6383.1
421,12176.0,11454.13
422,12141.0,8366.67
423,14135.0,18165.35
424,13252.0,18120.87
425,11144.0,6022.51
426,12480.0,9797.53
427,11319.0,5593.09
428,10077.0,5290.67
429,10038.0,5138.86
430,11501.0,6676.77
431,12139.0,10314.69
432,11089.0,7113.97
433,11478.0,12346.43
434,11077.0,9091.63
435,12401.0,13399.11
436,11569.0,9678.82
437,12293.0,10360.18
438,11015.0,6714.32
439,11172.0,5635.58
440,11218.0,6341.58
441,10341.0,4794.08
442,10789.0,7545.87
443,13416.0,15080.24
444,11749.0,13845.54
445,9834.0,8462.55
446,12276.0,19138.74
447,11546.0,8769.5
448,11062.0,7852.24
449,10122.0,7789.03
450,11029.0,5646.74
451,10983.0,17018.86
452,11306.0,6918.35
453,11313.0,5768.03
454,9580.0,5036.81
455,15375.0,35500.99
456,11586.0,9644.11
457,11484.0,6165.53
458,12356.0,13402.49
459,11660.0,9984.01
460,12445.0,18785.19
461,10380.0,5649.54
462,9808.0,4912.99
463,11276.0,12768.66
464,11981.0,8125.59
465,10045.0,7215.75
466,13116.0,21265.59
467,12102.0,8356.4
468,10675.0,5722.22
469,13310.0,9813.91
470,15611.0,35222.96
471,14063.0,13828.15
472,16019.0,42457.67
473,14644.0,36090.89
474,10661.0,7000.94
475,10815.0,5066.94
476,10950.0,6808.12
477,11380.0,9392.44
478,11510.0,10938.79
479,11247.0,6787.92
480,12159.0,14944.19
481,11159.0,6496.19
482,13764.0,21462.91
483,11014.0,5826.24
484,12533.0,11979.01
485,15729.0,31978.35
486,10958.0,7618.08
487,11507.0,9240.1
488,11182.0,7195.84
489,11341.0,6549.2
490,12820.0,13013.55
491,10520.0,5283.86
492,13184.0,11201.48
493,13621.0,16875.26
494,11190.0,7140.52
495,11770.0,9089.83
496,11803.0,8141.38
497,12064.0,6888.68
498,10877.0,6324.51
499,13057.0,11404.54
500,11025.0,6560.83
501,11901.0,8649.0
502,10973.0,7628.86
503,10943.0,5433.1
504,10660.0,5334.38
505,11280.0,6564.42
506,13783.0,16569.24
507,10956.0,4957.18
508,11481.0,7379.31
509,12561.0,15108.87
510,10106.0,4567.19
511,12873.0,12413.81
512,13181.0,12518.21
513,10979.0,6802.92
514,14999.0,21928.95
515,11347.0,15667.11
516,9237.0,6305.85
517,11733.0,7063.79
518,11172.0,5616.27
519,15979.0,30417.46
520,11266.0,7498.3
521,11592.0,6322.73
522,10986.0,5391.53
523,11712.0,12583.6
524,11065.0,6156.04
525,13158.0,15050.86
526,11284.0,15269.72
527,12404.0,18139.76
528,11152.0,7125.3
529,12603.0,10808.02
530,12207.0,13704.25
531,13280.0,19673.69
532,11255.0,11947.62
533,11031.0,7179.31
534,11020.0,6430.77
535,12606.0,17304.36
536,11380.0,10292.04
537,10928.0,5910.48
538,12186.0,8621.24
539,11062.0,6457.81
540,14014.0,25351.71
541,12447.0,13923.71
542,11013.0,7061.43
543,11691.0,12105.99
544,13518.0,19708.32
545,10211.0,4795.78
546,11295.0,5849.22
547,12809.0,12654.73
548,15554.0,20994.55
549,21888.0,45951.39
550,14730.0,26686.46
551,11846.0,10899.34
552,10431.0,5444.6
553,11664.0,6315.18
554,11495.0,6954.84
555,11774.0,7279.64
556,13387.0,16819.22
557,10992.0,6415.83
558,16761.0,41129.8
559,11900.0,10196.17
560,13879.0,24032.67
561,13155.0,9690.59
562,14195.0,22596.03
563,11360.0,7204.18
564,11141.0,9501.12
565,10801.0,6756.74
566,10659.0,4811.56
567,11723.0,9470.96
568,13936.0,24642.87
569,13541.0,21127.27
570,11445.0,5973.37
571,15385.0,33171.01
572,12059.0,14175.09
573,12719.0,9879.09
574,11606.0,12217.04
575,11390.0,6514.09
576,11808.0,11515.24
577,16415.0,35558.06
578,12122.0,7880.79
579,11243.0,9113.9
580,14862.0,30178.65
581,11503.0,13705.58
582,17212.0,27928.07
583,14621.0,23887.15
584,13309.0,17463.13
585,10160.0,5446.52
586,11502.0,6539.61
587,11070.0,5889.62
588,13299.0,13899.75
589,13285.0,11015.04
590,20929.0,74247.25
591,11208.0,5761.94
592,12637.0,8015.68
593,11638.0,7228.38
594,10521.0,5598.16
595,11058.0,5787.21
596,11072.0,5736.21
597,12002.0,8724.49
598,12663.0,10086.05
599,11255.0,6647.05
600,12040.0,6474.65
601,10835.0,5473.65
602,13453.0,13031.06
603,12596.0,8814.52
604,11158.0,6051.94
605,13526.0,13030.08
606,12880.0,12752.9
607,10890.0,5818.81
608,14031.0,29009.67
609,11587.0,7210.63
610,12538.0,11881.66
611,10863.0,7160.84
612,11137.0,5598.98
613,10875.0,6798.05
614,13269.0,10832.87
615,11099.0,5390.91
616,11086.0,6260.61
617,11822.0,7196.37
618,11202.0,5245.59
619,14166.0,23072.35
620,10970.0,5456.42
621,11908.0,10009.27
622,12020.0,9403.44
623,10443.0,7587.34
624,14126.0,21696.34
625,13748.0,11953.73
626,15833.0,41631.9
627,14716.0,18933.32
628,11170.0,6531.27
629,11104.0,6169.05
630,10583.0,5278.05
631,11959.0,9467.13
632,16195.0,26318.78
633,13977.0,20952.43
634,12479.0,7781.74
635,11375.0,7699.3
636,12166.0,10323.95
637,10900.0,12993.27
638,10791.0,5401.98
639,12466.0,9163.64
640,13230.0,13579.04
641,12072.0,8591.79
642,11651.0,7445.25
643,12052.0,8857.17
644,11659.0,6002.72
645,11519.0,5614.1
646,15425.0,30741.23
647,13776.0,24855.78
648,10785.0,7052.55
649,11837.0,7124.43
650,11504.0,7229.08
651,11253.0,6119.42
652,11142.0,6654.72
653,12183.0,13075.48
654,11441.0,7600.92
655,11151.0,6069.42
656,12699.0,9416.02
657,11320.0,7853.69
658,11251.0,6651.97
659,10863.0,4980.42
660,16125.0,26418.3
661,14935.0,24079.04
662,14086.0,20442.5
663,10847.0,12621.06
664,10809.0,6257.23
665,11788.0,8020.76
666,10944.0,6216.04
667,11873.0,9655.28
668,10836.0,6196.56
669,11953.0,7200.61
670,12817.0,13136.29
671,13500.0,12575.24
672,12309.0,13486.21
673,12681.0,14928.64
674,12123.0,10762.53
675,12054.0,8576.65
676,10931.0,5263.57
677,10569.0,4945.41
678,11543.0,7704.37
679,14299.0,21755.33
680,11803.0,6768.02
681,15297.0,22245.22
682,15325.0,32604.39
683,11895.0,11150.91
684,23532.0,43367.45
685,10794.0,4889.43
686,12354.0,9512.05
687,10697.0,6003.46
688,10911.0,6311.17
689,10826.0,5981.46
690,12952.0,19260.92
691,11517.0,9048.35
692,12834.0,12465.45
693,11244.0,5725.17
694,11197.0,9589.56
695,10570.0,4775.13
696,11993.0,7779.87
697,10802.0,5511.35
698,10924.0,5278.07
699,13916.0,18086.8
700,10843.0,5266.72
701,10768.0,5773.81
702,11937.0,7675.68
703,13771.0,23770.9
704,11164.0,7495.95
705,11608.0,16656.79
706,10824.0,5660.69
707,12164.0,10689.48
708,10794.0,5886.09
709,11564.0,7422.16
710,16572.0,30663.73
711,10780.0,5128.48
712,11596.0,9685.08
713,13149.0,17933.17
714,10577.0,6690.61
715,12249.0,19413.08
716,11229.0,11509.01
717,11601.0,11414.36
718,9698.0,5138.93
719,10870.0,7318.09
720,11901.0,9442.5
721,12481.0,17761.09
722,11342.0,6166.89
723,14106.0,17357.69
724,10811.0,7135.2
725,11106.0,6234.46
726,11312.0,10331.67
727,10965.0,8244.66
728,13718.0,18684.88
729,10661.0,5222.62
730,12174.0,12577.74
731,12799.0,14230.19
732,10775.0,6213.58
733,10943.0,5768.5
734,10720.0,5452.06
735,12407.0,17543.26
736,11448.0,7225.73
737,12942.0,23721.96
738,14210.0,22086.14
739,11934.0,9270.0
740,11366.0,25066.24
741,11564.0,9168.86
742,10937.0,5195.81
743,11280.0,8947.1
744,12873.0,10734.32
745,10613.0,4586.29
746,19921.0,70763.32
747,12606.0,17123.05
748,10167.0,8535.23
749,13000.0,15643.52
750,11408.0,8088.2
751,11440.0,7138.94
752,11932.0,17930.63
753,11708.0,7923.28
754,11187.0,5681.31
755,12020.0,8952.57
756,11945.0,12208.73
757,10369.0,6989.71
758,10615.0,5026.63
