Time (10 x sec), TPS (ops/sec)
1,5385
2,5531
3,5486
4,5696
5,5322
6,5606
7,5525
8,5641
9,5539
10,5600
11,5385
12,5133
13,5613
14,5358
15,5248
16,5127
17,5259
18,5292
19,5063
20,5753
21,5585
22,5867
23,5390
24,5516
25,5757
26,4958
27,5153
28,5657
29,5363
30,5186
31,5360
32,5853
33,5512
34,5421
35,5432
36,5935
37,5521
38,4779
39,5687
40,5447
41,5686
42,5934
43,5537
44,5376
45,5502
46,5609
47,5643
48,5456
49,5555
50,5413
51,5634
52,5461
53,5326
54,5601
55,5781
56,5606
57,5928
58,5354
59,5671
60,5579
61,5359
62,5546
63,5620
64,5362
65,5332
66,5306
67,5568
68,5508
69,5342
70,5376
71,5834
72,5386
73,5452
74,5791
75,5911
76,5326
77,5477
78,5577
79,5266
80,5459
81,5278
82,5294
83,5775
84,5480
85,5325
86,5735
87,5425
88,5522
89,5485
90,5675
91,5476
92,5795
93,5565
94,5345
95,5304
96,5324
97,5559
98,4519
99,5682
100,5582
101,5702
102,5422
103,5194
104,5418
105,5429
106,5383
107,5725
108,5569
109,5314
110,5872
111,5518
112,5284
113,5414
114,5519
115,5108
116,5384
117,5119
118,5264
119,5385
120,5446
121,5638
122,5343
123,5649
124,5690
125,5017
126,5212
127,5149
128,5328
129,4981
130,5378
131,5191
132,5451
133,5562
134,4807
135,5471
136,5208
137,5334
138,5678
139,5425
140,5341
141,5180
142,5096
143,5095
144,5427
145,5274
146,5646
147,5651
148,5627
149,5324
150,5586
151,5140
152,5631
153,5323
154,5346
155,5209
156,4972
157,5492
158,5476
159,5194
160,5235
161,5300
162,5254
163,5411
164,5769
165,5516
166,5134
167,5409
168,5104
169,5007
170,5393
171,5271
172,5116
173,5469
174,5601
175,5323
176,5347
177,5216
178,5343
179,5292
180,5158
181,5074
182,5699
183,5528
184,5167
185,5546
186,5882
187,5286
188,5392
189,5353
190,5654
191,5422
192,5230
193,5072
194,5206
195,4954
196,5371
197,5286
198,5156
199,5335
200,5675
201,5476
202,5240
203,4675
204,5342
205,5337
206,4789
207,5171
208,5722
209,5330
210,5613
211,5757
212,5123
213,5312
214,5419
215,5018
216,5383
217,5296
218,5519
219,5300
220,5375
221,5040
222,5357
223,4960
224,5202
225,5630
226,5289
227,5617
228,5424
229,5445
230,5401
231,5350
232,5385
233,4980
234,5106
235,5476
236,5023
237,5162
238,5316
239,5158
240,5424
241,5709
242,5053
243,5666
244,5274
245,5632
246,5380
247,5147
248,5550
249,5255
250,4927
251,5345
252,5614
253,5049
254,5687
255,4988
256,5261
257,5147
258,5083
259,5332
260,5012
261,5887
262,5761
263,5443
264,5768
265,5131
266,5598
267,5280
268,5083
269,5312
270,5040
271,5331
272,5169
273,4872
274,5268
275,5590
276,5184
277,5505
278,5643
279,5803
280,5162
281,5358
282,5462
283,5235
284,5423
285,5580
286,5387
287,5346
288,5810
289,4988
290,5170
291,5413
292,5547
293,5441
294,5689
295,5449
296,5129
297,4893
298,5174
299,5091
300,5293
301,5602
302,5488
303,4870
304,5473
305,5526
306,5161
307,5177
308,5211
309,5540
310,5114
311,5094
312,5463
313,5472
314,5243
315,5420
316,5448
317,5315
318,5661
319,4996
320,5030
321,5018
322,5150
323,5149
324,5016
325,5161
326,5116
327,5357
328,5125
329,5051
330,5663
331,5008
332,5741
333,5271
334,5256
335,4870
336,4942
337,5361
338,5223
339,5221
340,5496
341,5080
342,5514
343,5064
344,4908
345,5167
346,5011
347,5392
348,5410
349,5241
350,5315
351,5234
352,5182
353,5194
354,5482
355,5473
356,5211
357,5305
358,5527
359,5625
360,5601
