Time (sec), Avg. Response Time (us), Standard deviation (us)
1,6677.0,1348.61
2,6573.0,906.46
3,6629.0,886.44
4,6781.0,1746.05
5,6640.0,853.59
6,6672.0,1503.23
7,6817.0,1837.54
8,6672.0,2283.05
9,6707.0,1699.85
10,6849.0,2242.82
11,6770.0,2127.07
12,6637.0,787.77
13,6614.0,782.27
14,6765.0,1771.37
15,6764.0,2212.99
16,6657.0,1072.65
17,6619.0,1194.56
18,6576.0,977.37
19,6759.0,1729.3
20,6692.0,1956.1
21,6595.0,873.82
22,6613.0,891.62
23,6632.0,841.79
24,6649.0,1817.54
25,6719.0,2665.64
26,6752.0,1877.87
27,6631.0,906.33
28,6599.0,901.33
29,6823.0,1911.39
30,6665.0,1485.69
31,6598.0,843.36
32,6755.0,2574.87
33,6634.0,1210.06
34,6647.0,1243.46
35,6773.0,2168.37
36,6732.0,2570.29
37,6657.0,1440.08
38,6642.0,783.6
39,6641.0,866.45
40,6583.0,881.21
41,6602.0,857.85
42,6570.0,886.64
43,6612.0,1023.56
44,6683.0,1522.64
45,6664.0,1627.85
46,6616.0,843.81
47,6590.0,869.61
48,6581.0,823.66
49,6615.0,852.38
50,6956.0,2350.95
51,6605.0,866.61
52,6656.0,1875.89
53,6607.0,1181.72
54,6584.0,1428.51
55,6634.0,1132.07
56,6599.0,1181.41
57,6773.0,2579.31
58,6762.0,2579.42
59,6740.0,2549.69
60,6728.0,2581.62
61,6712.0,1681.0
62,6656.0,1428.16
63,6615.0,878.53
64,6655.0,1545.93
65,6592.0,964.11
66,6591.0,864.3
67,6582.0,849.49
68,6572.0,883.81
69,6600.0,860.63
70,6670.0,910.39
71,6591.0,1148.1
72,6635.0,1173.69
73,6645.0,1268.09
74,6638.0,1339.56
75,6628.0,840.65
76,6608.0,994.54
77,6573.0,895.26
78,6592.0,1454.41
79,6763.0,2610.48
80,6746.0,2440.28
81,6826.0,2065.25
82,6736.0,2400.09
83,6633.0,1004.0
84,6640.0,854.97
85,6596.0,1618.52
86,6535.0,873.6
87,6540.0,845.68
88,6561.0,906.5
89,6577.0,878.88
90,6737.0,1643.21
91,6585.0,840.01
92,6515.0,921.0
93,6645.0,1752.35
94,6697.0,1523.61
95,6886.0,2766.97
96,6760.0,2561.9
97,6764.0,2588.04
98,6756.0,2567.36
99,6725.0,2152.77
100,6942.0,2349.35
101,6688.0,1338.01
102,6646.0,1023.04
103,6670.0,898.61
104,6688.0,1962.21
105,6754.0,2656.64
106,6745.0,1350.47
107,6707.0,833.79
108,6585.0,823.65
109,6704.0,1698.81
110,6621.0,852.71
111,6589.0,906.67
112,6597.0,799.31
113,6669.0,809.55
114,6653.0,854.3
115,6725.0,1529.78
116,6614.0,879.45
