Time (sec), Avg. Response Time (us)
1,11385
2,10725
3,13247
4,10910
5,11324
6,12007
7,10790
8,12722
9,11845
10,12972
11,11108
12,10451
13,11690
14,23595
15,10488
16,10523
17,11589
18,14965
19,13170
20,10578
21,17194
22,11269
23,11024
24,11030
25,10449
26,11759
27,15880
28,10496
29,10803
30,12454
31,9889
32,11576
33,11627
34,10707
35,20488
36,11951
37,10421
38,11434
39,10281
40,11092
41,10619
42,11878
43,12102
44,13407
45,9525
46,12572
47,11573
48,11064
49,13270
50,13098
51,16332
52,11737
53,12016
54,10826
55,13366
56,12343
57,11004
58,10981
59,10940
60,10321
61,12290
62,14109
63,12095
64,12732
65,12382
66,10592
67,12360
68,13787
69,14157
70,11102
71,10934
72,10344
73,10337
74,13122
75,10570
76,12676
77,11296
78,10435
79,11344
80,11967
81,13875
82,12793
83,9965
84,10687
85,11313
86,11069
87,11369
88,10838
89,12707
90,11020
91,12600
92,15907
93,10584
94,11220
95,10234
96,11142
97,11457
98,13264
99,13197
100,10808
101,11385
102,14346
103,20855
104,10945
105,9462
106,18091
107,11456
108,13505
109,12192
110,11445
111,11801
112,12650
113,11861
114,11201
115,11184
116,11623
117,10531
118,11388
119,11491
120,13272
121,11273
122,9808
123,12624
124,10548
125,10988
126,12741
127,9524
128,11775
129,12242
130,15329
131,12820
132,11344
133,12802
134,9239
135,11704
136,10830
137,11353
138,21510
139,12804
140,10692
141,13009
142,11840
143,11454
144,11572
145,11662
146,10575
147,15310
148,10927
149,12905
150,10209
151,10395
152,10132
153,11029
154,16772
155,10557
156,11750
157,13555
158,13276
159,12301
160,13682
161,13747
162,12008
163,10705
164,10737
165,12172
166,12619
167,9200
168,11537
169,15480
170,12292
171,11650
172,13618
173,10921
174,11329
175,12452
176,10904
177,11842
178,10869
179,11366
180,11030
181,10948
182,11469
183,11811
184,12155
185,10802
186,13881
187,14259
188,14399
189,11581
190,10506
191,11697
192,12782
193,11894
194,11105
195,10436
196,10810
197,17553
198,12657
199,13855
200,17506
201,10675
202,11502
203,12511
204,11304
205,10872
206,11758
207,11188
208,11153
209,12786
210,13594
211,14511
212,12261
213,12786
214,11133
215,13006
216,11564
217,12662
218,10980
219,11404
220,11589
221,11255
222,11798
223,11096
224,18026
225,10018
226,11009
227,11085
228,12019
229,11521
230,12704
231,10578
232,23730
233,12610
234,12099
235,11091
236,11025
237,11553
238,8929
239,10615
240,12090
241,10780
242,11066
243,11406
244,13079
245,10893
246,12063
247,12217
248,11843
249,14659
250,11512
251,11868
252,10740
253,12204
254,10402
255,12096
256,11247
257,10787
258,10857
259,13125
260,10785
261,13135
262,12412
263,12138
264,12545
265,10761
266,9439
267,10101
268,11136
269,10639
270,11270
271,10863
272,10008
273,11875
274,13586
275,12826
276,9292
277,11774
278,10572
279,12662
280,10672
281,13818
282,14177
283,10583
284,11612
285,10978
286,10720
287,11077
288,11403
289,9374
290,10533
291,11801
292,14919
293,10754
294,11625
295,10442
296,11402
297,11577
298,13354
299,12062
300,12449
301,13948
302,11932
303,11523
304,10800
305,11420
306,10715
307,12463
308,11285
309,11323
310,9617
311,10587
312,11942
313,11325
314,16539
315,14751
316,11421
317,10666
318,10933
319,10121
320,11084
321,11317
322,11489
