Time (sec), Avg. Response Time (us), Standard deviation (us)
1,6557.0,822.95
2,6618.0,896.23
3,6724.0,1682.45
4,6652.0,884.74
5,6642.0,1422.28
6,6779.0,1758.2
7,6566.0,2110.44
8,6679.0,1662.72
9,6754.0,2109.74
10,6707.0,2054.27
11,6627.0,824.54
12,6607.0,789.27
13,6699.0,1688.56
14,6682.0,2089.39
15,6646.0,1071.88
16,6604.0,1206.85
17,6549.0,993.02
18,6702.0,1687.18
19,6627.0,1867.31
20,6590.0,829.35
21,6599.0,846.41
22,6617.0,858.75
23,6587.0,1723.63
24,6557.0,2491.97
25,6727.0,1901.53
26,6610.0,879.16
27,6583.0,890.05
28,6790.0,1851.18
29,6625.0,1454.94
30,6575.0,782.69
31,6643.0,2495.36
32,6619.0,1135.97
33,6616.0,1285.52
34,6687.0,2082.16
35,6592.0,2413.76
36,6626.0,1400.63
37,6649.0,864.32
38,6620.0,832.01
39,6582.0,900.97
40,6593.0,868.53
41,6566.0,913.88
42,6581.0,967.95
43,6630.0,1455.93
44,6625.0,1589.8
45,6609.0,811.28
46,6584.0,858.43
47,6579.0,826.22
48,6611.0,834.93
49,6891.0,2280.54
50,6596.0,881.52
51,6562.0,1771.18
52,6576.0,1101.12
53,6537.0,1380.54
54,6609.0,1096.37
55,6561.0,1174.79
56,6627.0,2388.76
57,6644.0,2451.49
58,6587.0,2399.66
59,6594.0,2487.5
60,6655.0,1607.76
61,6613.0,1417.02
62,6608.0,860.45
63,6636.0,1500.18
64,6573.0,938.82
65,6562.0,841.93
66,6576.0,854.12
67,6558.0,873.74
68,6591.0,878.16
69,6652.0,914.78
70,6562.0,1128.14
71,6614.0,1186.68
72,6607.0,1239.08
73,6604.0,1275.39
74,6623.0,858.38
75,6607.0,1006.15
76,6547.0,888.34
77,6547.0,1427.26
78,6619.0,2445.11
79,6613.0,2327.13
80,6779.0,2002.13
81,6626.0,2233.89
82,6620.0,978.56
83,6634.0,850.21
84,6566.0,1566.45
85,6531.0,888.44
86,6519.0,830.77
87,6544.0,858.11
88,6569.0,860.51
89,6699.0,1561.35
90,6588.0,852.93
91,6492.0,922.96
92,6584.0,1697.74
93,6654.0,1490.56
94,6757.0,2643.44
95,6625.0,2420.77
96,6610.0,2426.68
97,6635.0,2414.75
98,6629.0,2061.98
99,6847.0,2254.95
100,6651.0,1275.62
101,6621.0,1005.64
102,6666.0,849.1
103,6608.0,1893.75
104,6595.0,2508.62
105,6714.0,1282.37
106,6691.0,805.24
107,6576.0,800.8
108,6717.0,1687.16
109,6600.0,837.25
110,6596.0,908.2
111,6596.0,803.69
112,6659.0,791.76
113,6639.0,829.68
114,6681.0,1476.9
115,6593.0,841.94
116,6609.0,878.16
117,6626.0,2147.09
118,6676.0,1135.71
119,6647.0,858.84
120,6670.0,875.49
121,6669.0,858.06
122,6688.0,866.94
123,6713.0,840.5
124,6668.0,900.78
125,6678.0,901.89
126,6677.0,856.03
127,6697.0,840.05
128,6558.0,2022.38
129,6782.0,2413.08
130,6559.0,2534.63
131,6648.0,1826.18
132,6646.0,859.5
133,6645.0,1366.21
134,6799.0,2600.68
135,6613.0,2557.88
136,6604.0,2325.74
137,6719.0,1283.94
138,6643.0,1909.22
139,6876.0,1414.72
140,6701.0,837.44
141,6678.0,851.13
142,6661.0,849.62
143,6728.0,1030.34
144,6621.0,2559.89
145,6557.0,2475.46
146,6650.0,2166.44
147,6691.0,859.38
148,6696.0,859.0
149,6672.0,769.1
150,6609.0,1535.59
151,6539.0,2465.33
152,6691.0,1544.93
153,6693.0,1176.6
154,6656.0,2491.98
155,6744.0,1545.04
156,6644.0,944.63
157,6703.0,908.68
158,6719.0,871.85
159,6649.0,1590.42
160,6561.0,2268.61
161,6655.0,2111.89
162,6732.0,841.82
163,6814.0,1705.12
164,6568.0,2390.74
165,6805.0,2655.0
166,6664.0,2309.24
167,6739.0,1168.06
168,6945.0,2423.58
169,6598.0,2029.66
170,6672.0,1734.74
171,6534.0,2549.4
172,6687.0,850.06
173,6666.0,1980.22
174,6762.0,1502.39
175,6837.0,1813.95
176,6651.0,2531.25
177,6829.0,2696.64
178,6558.0,2457.86
179,6687.0,2370.37
180,6814.0,1590.12
181,6733.0,2249.73
182,6642.0,1691.47
183,6800.0,2230.92
184,6581.0,1156.87
185,6613.0,842.52
186,6591.0,776.68
187,6584.0,1136.88
188,6705.0,2082.8
189,6778.0,2409.4
190,6649.0,1654.65
191,6605.0,802.34
192,6540.0,850.01
193,6728.0,1828.57
194,6574.0,1994.01
195,6688.0,2130.37
196,6597.0,1091.05
197,6600.0,814.96
198,6572.0,1894.78
199,6790.0,2361.85
200,6647.0,2235.49
201,6583.0,824.34
202,6623.0,1792.56
203,6703.0,1556.2
204,6562.0,845.56
205,6608.0,845.37
206,6528.0,808.68
207,6552.0,867.43
208,6721.0,1549.04
209,6610.0,1926.77
210,6569.0,820.04
211,6574.0,886.64
212,6562.0,1397.85
213,6559.0,2084.66
214,6678.0,2543.47
215,6614.0,1361.36
216,6500.0,847.25
217,6670.0,1910.64
218,6749.0,1968.92
219,6613.0,1348.13
220,6543.0,1123.64
221,6556.0,810.26
222,6569.0,781.69
223,6634.0,1358.67
224,6634.0,973.46
225,6582.0,809.83
226,6548.0,796.07
227,6568.0,1037.43
228,6758.0,2064.54
229,6560.0,811.23
230,6576.0,1633.35
