Time (sec), Avg. Response Time (us), Standard deviation (us)
265,3165.0,3124.52
266,2902.0,3223.04
267,3102.0,3070.84
268,3076.0,3196.2
269,2897.0,3253.62
270,2945.0,3058.49
271,2952.0,3112.09
272,3114.0,3186.64
273,2951.0,3177.6
274,2861.0,3140.61
275,3229.0,3222.16
276,3150.0,3086.24
277,3056.0,3089.81
278,2877.0,5730.11
279,2880.0,3022.16
280,3034.0,3007.82
281,3008.0,3184.97
282,2991.0,3092.91
283,3374.0,3858.44
284,3068.0,3171.62
285,3089.0,3135.93
286,3090.0,3095.18
287,2976.0,3044.54
288,3022.0,3378.36
289,2934.0,3018.03
290,3035.0,3182.91
291,2964.0,3237.54
292,3127.0,3238.78
293,3361.0,4027.63
294,3108.0,3072.08
295,3007.0,3209.32
296,3083.0,3036.02
297,2990.0,3091.41
298,3007.0,3109.82
299,3114.0,3219.62
300,2996.0,3152.9
301,3017.0,3279.17
302,2944.0,3116.34
303,3020.0,3096.27
304,3006.0,3113.6
305,3010.0,3150.4
306,3042.0,3141.37
307,2851.0,3144.11
308,3112.0,3308.56
309,3002.0,3101.28
310,2881.0,3119.36
311,3025.0,3157.87
312,2979.0,3137.63
313,3123.0,3211.44
314,3103.0,3215.19
315,2964.0,3230.02
316,3099.0,3105.69
317,3017.0,3128.6
318,2985.0,3054.45
319,2947.0,3316.02
320,3011.0,3050.62
321,3134.0,3281.6
322,2913.0,3200.86
323,2958.0,3261.42
324,3056.0,3309.51
325,3066.0,2965.59
326,3098.0,9094.19
327,3304.0,3071.81
328,3097.0,3116.27
329,3150.0,7506.58
330,2968.0,3072.46
331,3015.0,3122.95
332,3258.0,3191.46
333,3033.0,3920.15
334,3049.0,3265.4
335,3187.0,3177.38
336,2992.0,3192.93
337,2828.0,3140.36
338,3062.0,3191.9
339,2869.0,3320.68
340,2917.0,3225.24
341,2889.0,3028.24
342,2890.0,3227.15
343,2964.0,3417.08
344,2879.0,3117.39
345,2836.0,3054.72
346,2909.0,3570.31
347,2936.0,3273.33
348,2915.0,3177.46
349,3004.0,3226.49
350,3018.0,3252.11
351,2876.0,3239.58
352,2804.0,3168.87
353,2907.0,3087.16
354,2948.0,3125.36
355,3089.0,3168.08
356,2902.0,3178.0
