Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
265,12371.0,16848.06
266,11534.0,10147.88
267,12103.0,11353.1
268,12596.0,15887.08
269,12002.0,13571.71
270,12996.0,21603.05
271,11726.0,12776.26
272,12500.0,13613.27
273,13024.0,20761.34
274,12203.0,16587.63
275,11250.0,9633.21
276,12709.0,23764.16
277,11547.0,13572.15
278,11470.0,14438.5
279,10865.0,10359.11
280,12488.0,17577.87
281,12312.0,14045.6
282,11613.0,12362.68
283,12177.0,16992.89
284,11597.0,9595.28
285,11549.0,10631.28
286,11916.0,14333.15
287,11792.0,11709.41
288,11282.0,10076.4
289,12656.0,14972.98
290,12140.0,16078.59
291,12041.0,13434.52
292,11805.0,9833.68
293,11372.0,10585.47
294,11470.0,10834.08
295,11317.0,8130.36
296,12924.0,21693.71
297,12248.0,17396.92
298,12567.0,17256.99
299,12798.0,14014.94
300,12399.0,19048.62
301,11083.0,8660.11
302,11740.0,15634.2
303,12911.0,19515.07
304,12031.0,14494.41
305,11824.0,12390.84
306,12060.0,10434.92
307,12388.0,17822.58
308,11939.0,12090.95
309,12014.0,13812.44
310,11945.0,14378.25
311,12759.0,20899.12
312,12239.0,19932.93
313,11442.0,10913.84
314,12136.0,13162.48
315,11808.0,13128.02
316,11830.0,12939.94
317,12045.0,12595.0
318,11498.0,11423.12
319,12669.0,16789.79
320,12655.0,20401.36
321,12808.0,14351.19
322,12511.0,17617.45
323,12056.0,12835.74
324,13008.0,19103.74
325,12218.0,15415.55
326,13012.0,21781.34
327,11887.0,14763.29
328,12985.0,19048.51
329,12833.0,20981.86
330,11377.0,12719.2
331,12277.0,18453.25
332,11939.0,19681.59
333,12055.0,13875.48
334,12240.0,16144.63
335,12809.0,24780.22
336,13283.0,20715.76
337,12332.0,14544.33
338,11782.0,14318.27
339,12362.0,17095.88
340,12318.0,15706.14
341,11567.0,11917.5
342,12346.0,17120.69
343,11989.0,14188.87
344,13526.0,20076.11
345,12915.0,17437.88
