Time (10 x sec), Avg. Response Time (us)
1,11951
2,11319
3,11536
4,11380
5,12042
6,11375
7,11591
8,11444
9,11471
10,11405
11,11647
12,12237
13,11513
14,11849
15,12318
16,12592
17,12167
18,12124
19,12625
20,11272
21,11526
22,10868
23,11882
24,11587
25,11145
26,12677
27,12611
28,11166
29,12172
30,12227
31,12128
32,10870
33,11697
34,11765
35,11793
36,10754
37,11613
38,13568
39,11499
40,11726
41,11436
42,10794
43,11520
44,11790
45,11578
46,11355
47,11257
48,11350
49,11669
50,11806
51,11208
52,11630
53,11900
54,11510
55,11037
56,11466
57,11305
58,11795
59,11378
60,11398
61,11850
62,11187
63,11755
64,12045
65,11874
66,12106
67,11418
68,11481
69,12021
70,11877
71,11006
72,11703
73,11768
74,11081
75,10976
76,11774
77,11670
78,11480
79,11839
80,11746
81,12046
82,12060
83,11074
84,11589
85,11970
86,11127
87,12017
88,11516
89,11613
90,11265
91,11540
92,11120
93,11398
94,11858
95,12123
96,11658
97,11842
98,13919
99,11261
100,11392
101,11044
102,11870
103,11954
104,12027
105,11679
106,11581
107,11399
108,11578
109,11998
110,10899
111,11493
112,12322
113,11631
114,11788
115,12597
116,11494
117,12728
118,12037
119,12189
120,11803
121,11276
122,11830
123,11454
124,11409
125,12647
126,12137
127,12619
128,11904
129,12922
130,11790
131,12280
132,11933
133,11292
134,13041
135,11939
136,12144
137,12001
138,11262
139,11998
140,11985
141,12430
142,12435
143,12310
144,12036
145,11949
146,11232
147,11466
148,11401
149,11795
150,11673
151,12605
152,11443
153,11710
154,12138
155,12440
156,12700
157,12015
158,11269
159,12345
160,12476
161,11775
162,12484
163,11770
164,11033
165,11199
166,12820
167,11646
168,12589
169,12707
170,11887
171,12057
172,12606
173,11540
174,11465
175,12313
176,11854
177,12152
178,12380
179,12076
180,12561
181,12264
182,11489
183,11437
184,12501
185,11698
186,10864
187,11910
188,11949
189,11700
190,11288
191,11789
192,12271
193,12033
194,12944
195,12242
196,12361
197,12033
198,12351
199,12072
200,11388
201,11590
202,12018
203,13696
204,12138
205,11671
206,13590
207,12296
208,11161
209,12152
210,11184
211,11325
212,12272
213,12266
214,11753
215,12687
216,11950
217,11920
218,11694
219,11768
220,12098
221,12753
222,11913
223,12666
224,12096
225,11988
226,12269
227,11344
228,11720
229,11921
230,11880
231,12128
232,11806
233,12492
234,12815
235,11491
236,12956
237,12000
238,12008
239,12683
240,11922
241,11359
242,12329
243,11431
244,12169
245,11124
246,11964
247,13032
248,11063
249,12204
250,12866
251,12529
252,11239
253,12298
254,11480
255,12544
256,12682
257,11967
258,12905
259,11954
260,12722
261,10763
262,11096
263,11845
264,11028
265,12371
266,11534
267,12103
268,12596
269,12002
270,12996
271,11726
272,12500
273,13024
274,12203
275,11250
276,12709
277,11547
278,11470
279,10865
280,12488
281,12312
282,11613
283,12177
284,11597
285,11549
286,11916
287,11792
288,11282
289,12656
290,12140
291,12041
292,11805
293,11372
294,11470
295,11317
296,12924
297,12248
298,12567
299,12798
300,12399
301,11083
302,11740
303,12911
304,12031
305,11824
306,12060
307,12388
308,11939
309,12014
310,11945
311,12759
312,12239
313,11442
314,12136
315,11808
316,11830
317,12045
318,11498
319,12669
320,12655
321,12808
322,12511
323,12056
324,13008
325,12218
326,13012
327,11887
328,12985
329,12833
330,11377
331,12277
332,11939
333,12055
334,12240
335,12809
336,13283
337,12332
338,11782
339,12362
340,12318
341,11567
342,12346
343,11989
344,13526
345,12915
346,11895
347,12611
348,11802
349,12161
350,11824
351,11674
352,13006
353,12250
354,11609
355,11852
356,12252
357,11974
358,11426
359,11747
360,11138
