Time (sec), Avg. Response Time (us), Standard deviation (us)
274,6677.0,2454.33
275,6675.0,2233.19
276,6715.0,1490.48
277,6724.0,1055.78
278,6628.0,871.09
279,6629.0,824.95
280,6591.0,801.63
281,6645.0,931.0
282,6632.0,2413.01
283,6615.0,2527.52
284,6676.0,1525.9
285,6643.0,876.44
286,6689.0,799.78
287,6588.0,1656.76
288,6678.0,1093.24
289,6589.0,1136.24
290,6566.0,911.75
291,6594.0,864.05
292,6624.0,926.97
293,6631.0,906.85
294,6594.0,2332.7
295,6691.0,1807.52
296,6563.0,887.69
297,6665.0,1699.35
298,6598.0,1819.82
299,6616.0,844.91
300,6638.0,846.4
301,6550.0,809.32
302,6828.0,1759.95
303,6609.0,885.29
304,6580.0,860.22
305,6600.0,969.26
306,6630.0,1681.35
307,6618.0,2396.33
308,6610.0,2527.75
309,6758.0,2385.65
310,6596.0,1197.11
311,6651.0,1432.4
312,6594.0,2135.34
313,6623.0,1581.32
314,6594.0,905.36
315,6659.0,867.42
316,6662.0,1688.04
317,6692.0,1272.86
318,6854.0,1949.61
319,6637.0,862.74
320,6626.0,1548.55
321,6639.0,2328.76
322,6896.0,1955.45
323,6633.0,840.82
324,6566.0,925.29
325,6589.0,858.34
326,6563.0,937.54
327,6666.0,895.5
328,6610.0,834.66
329,6613.0,847.66
330,6647.0,907.14
331,6630.0,798.92
332,6803.0,1757.86
333,6665.0,1882.2
334,6614.0,869.85
335,6617.0,2232.63
336,6674.0,2483.3
337,6692.0,2048.52
338,6728.0,1501.31
339,6686.0,1880.05
340,6629.0,892.05
341,6529.0,1064.88
342,6703.0,2445.96
343,6570.0,789.53
344,6620.0,829.03
345,6677.0,846.45
346,6658.0,1171.77
347,6707.0,1434.82
348,6644.0,1839.68
349,6564.0,878.43
350,6630.0,1210.75
351,6606.0,1359.7
352,6653.0,2112.51
353,6922.0,2546.69
354,6743.0,2533.57
355,6705.0,2467.78
356,6696.0,1255.06
357,6677.0,2866.26
358,6600.0,1323.98
359,6589.0,945.59
360,6534.0,908.94
361,6565.0,969.13
