Time (sec), Avg. Response Time (us), Standard deviation (us)
1,11385.0,6713.46
2,10725.0,6051.28
3,13247.0,19844.33
4,10910.0,7398.47
5,11324.0,6452.12
6,12007.0,14659.63
7,10790.0,5700.77
8,12722.0,16356.98
9,11845.0,15944.66
10,12972.0,13882.06
11,11108.0,5323.72
12,10451.0,8372.53
13,11690.0,6093.8
14,23595.0,84155.68
15,10488.0,5987.92
16,10523.0,10459.02
17,11589.0,7968.51
18,14965.0,28388.06
19,13170.0,19792.65
20,10578.0,13075.05
21,17194.0,41720.84
22,11269.0,8615.54
23,11024.0,5063.95
24,11030.0,4967.41
25,10449.0,4621.99
26,11759.0,5314.44
27,15880.0,26016.26
28,10496.0,5435.73
29,10803.0,6090.97
30,12454.0,14933.47
31,9889.0,4452.98
32,11576.0,14896.27
33,11627.0,12639.34
34,10707.0,5618.43
35,20488.0,55333.43
36,11951.0,14752.56
37,10421.0,5058.19
38,11434.0,6926.8
39,10281.0,6878.83
40,11092.0,7241.46
41,10619.0,7090.87
42,11878.0,8762.18
43,12102.0,10243.84
44,13407.0,14083.93
45,9525.0,7917.48
46,12572.0,10225.56
47,11573.0,8159.8
48,11064.0,5565.04
49,13270.0,15688.11
50,13098.0,13043.77
51,16332.0,30652.74
52,11737.0,9096.85
53,12016.0,9709.32
54,10826.0,5944.87
55,13366.0,17331.94
56,12343.0,7562.43
57,11004.0,6737.44
58,10981.0,6549.84
59,10940.0,5775.45
60,10321.0,6646.41
61,12290.0,9756.34
62,14109.0,23461.23
63,12095.0,8432.88
64,12732.0,13796.99
65,12382.0,15178.41
66,10592.0,5438.79
67,12360.0,17175.94
68,13787.0,19863.84
69,14157.0,27164.35
70,11102.0,7005.3
71,10934.0,5462.81
72,10344.0,10617.05
73,10337.0,13010.07
74,13122.0,19433.06
75,10570.0,5948.08
76,12676.0,25773.97
77,11296.0,6978.2
78,10435.0,7570.65
79,11344.0,5977.24
80,11967.0,10549.96
81,13875.0,20268.8
82,12793.0,21399.9
83,9965.0,6290.14
84,10687.0,4909.55
85,11313.0,11115.16
86,11069.0,5377.49
87,11369.0,7444.94
88,10838.0,5672.77
89,12707.0,22761.8
90,11020.0,8413.51
91,12600.0,9618.67
92,15907.0,29350.89
93,10584.0,5301.34
94,11220.0,8794.8
95,10234.0,5292.32
96,11142.0,6229.86
97,11457.0,7425.17
98,13264.0,28778.33
99,13197.0,24000.24
100,10808.0,5079.33
101,11385.0,5951.91
102,14346.0,20131.8
103,20855.0,48670.09
104,10945.0,7876.11
105,9462.0,11541.48
106,18091.0,54185.66
107,11456.0,8045.48
108,13505.0,19753.12
109,12192.0,11440.27
110,11445.0,7366.09
111,11801.0,6422.0
112,12650.0,8274.84
113,11861.0,8764.32
114,11201.0,5914.01
115,11184.0,9789.49
116,11623.0,7026.7
117,10531.0,5691.32
118,11388.0,6968.76
119,11491.0,7542.92
120,13272.0,13530.37
121,11273.0,7396.59
122,9808.0,5736.77
123,12624.0,20811.59
124,10548.0,12289.76
125,10988.0,5326.59
126,12741.0,11532.0
127,9524.0,6490.08
128,11775.0,11735.17
129,12242.0,8856.52
130,15329.0,25803.12
131,12820.0,17636.41
132,11344.0,16046.72
133,12802.0,8078.5
134,9239.0,5251.25
135,11704.0,19298.22
136,10830.0,10926.14
137,11353.0,14687.35
138,21510.0,32147.04
139,12804.0,18787.91
140,10692.0,5230.95
141,13009.0,17892.42
142,11840.0,10298.27
143,11454.0,7442.34
144,11572.0,6402.0
145,11662.0,13022.34
146,10575.0,5994.63
147,15310.0,24135.05
148,10927.0,7965.43
149,12905.0,25805.97
150,10209.0,4913.47
151,10395.0,11801.28
152,10132.0,8064.74
153,11029.0,5616.27
154,16772.0,32108.51
155,10557.0,5196.13
156,11750.0,10484.22
157,13555.0,19362.64
158,13276.0,14332.69
159,12301.0,11310.23
160,13682.0,19396.88
161,13747.0,27532.13
162,12008.0,7280.65
163,10705.0,5169.28
164,10737.0,10368.11
165,12172.0,8674.04
166,12619.0,12015.45
167,9200.0,8706.18
168,11537.0,15329.99
169,15480.0,19417.64
170,12292.0,13895.23
171,11650.0,6629.77
172,13618.0,18039.77
173,10921.0,6478.76
174,11329.0,6498.42
175,12452.0,10545.4
176,10904.0,5790.6
177,11842.0,6266.27
178,10869.0,4868.48
179,11366.0,6022.84
180,11030.0,5581.31
