Time (10 x sec), Avg. Response Time (us)
1,11930
2,11612
3,11710
4,11275
5,12076
6,11449
7,11630
8,11387
9,11591
10,11472
11,11932
12,12511
13,11368
14,12064
15,12243
16,12533
17,12208
18,12171
19,12591
20,11266
21,11502
22,10941
23,11920
24,11645
25,11156
26,12960
27,12460
28,11360
29,11971
30,12376
31,11997
32,10977
33,11653
34,11821
35,11854
36,10812
37,11646
38,13436
39,11298
40,11799
41,11296
42,10822
43,11602
44,11948
45,11679
46,11446
47,11385
48,11772
49,11565
50,11865
51,11389
52,11774
53,12065
54,11466
55,11112
56,11460
57,11196
58,11996
59,11320
60,11522
61,11984
62,11587
63,11435
64,11974
65,12050
66,12108
67,11532
68,11664
69,12024
70,11955
71,11035
72,11767
73,11966
74,11090
75,10855
76,12075
77,11724
78,11514
79,12198
80,11747
81,12195
82,12130
83,11110
84,11738
85,12054
86,11194
87,11851
88,11632
89,11710
90,11317
91,11725
92,11088
93,11545
94,12019
95,12110
96,11947
97,11668
98,14210
99,11300
100,11512
101,11263
102,11843
103,12368
104,11849
105,11837
106,11882
107,11159
108,11647
109,12093
110,10935
111,11647
112,12153
113,11823
114,11677
115,12572
116,11826
117,12671
118,12205
119,11905
120,11820
121,11390
122,12023
123,11380
124,11316
125,12831
126,12317
127,12434
128,12104
129,12895
130,11942
131,12375
132,11778
133,11556
134,13358
135,11677
136,12404
137,12045
138,11312
139,11824
140,12044
141,12403
142,12610
143,12602
144,11837
145,12056
146,11462
147,11398
148,11422
149,12063
150,11501
151,12500
152,11406
153,11981
154,12104
155,12328
156,12924
157,11708
158,11788
159,12419
160,12320
161,12075
162,12276
163,11880
164,11112
165,11670
166,12509
167,11883
168,12583
169,12835
170,11910
171,12186
172,12555
173,11760
174,11512
175,12119
176,12054
177,12372
178,12073
179,12111
180,12478
181,12559
182,11319
183,11656
184,12432
185,11582
186,10921
187,12149
188,11923
189,11996
190,11363
191,11838
192,12257
193,12700
194,12332
195,12971
196,11956
197,12151
198,12460
199,12037
200,11480
201,11728
202,12216
203,13702
204,12102
205,12040
206,13414
207,12420
208,11222
209,12038
210,11456
211,11161
212,12533
213,12100
214,11849
215,12800
216,11938
217,12128
218,11607
219,12150
220,11950
221,12755
222,12028
223,12916
224,12396
225,11417
226,12196
227,11483
228,11890
229,11843
230,11936
231,12050
232,11925
233,12894
234,12586
235,11732
236,12788
237,12446
238,12084
239,12451
240,11834
241,11257
242,12710
243,11327
244,12193
245,11409
246,11897
247,12518
248,11578
249,12214
250,13040
251,12027
252,11441
253,12722
254,11287
255,12879
256,12211
257,12472
258,12652
259,12008
260,12854
261,10886
262,11183
263,11832
264,11179
265,12572
266,11517
267,12212
268,12691
269,12138
270,12796
271,12097
272,12482
273,13231
274,12242
275,11437
276,12542
277,11719
278,11416
279,11124
280,12493
281,11990
282,11845
283,12314
284,11891
285,11513
286,11918
287,12019
288,11060
289,12854
290,12423
291,11881
292,11582
293,11808
294,11290
295,11792
296,12521
297,12961
298,12579
299,12613
300,12136
301,11467
302,11698
303,13189
304,11737
305,11626
306,12451
307,12402
308,12334
309,11593
310,12522
311,12656
312,11755
313,11742
314,12251
315,11857
316,11823
317,12135
318,11394
319,12724
320,12999
321,12847
322,12527
323,12511
324,12871
325,12201
326,12908
327,12036
328,12580
329,12686
330,11460
331,12779
332,11319
333,12232
334,12277
335,13253
336,13044
337,12032
338,12305
339,12301
340,11687
341,12552
342,11737
343,12687
344,13093
345,12426
346,12825
347,11912
348,11874
349,12256
350,12082
351,12271
352,12397
353,12366
354,11720
355,11739
356,12320
357,12114
358,11619
359,11417
360,11469
