Time (sec), Avg. Response Time (us)
1,10959
2,9850
3,13829
4,10653
5,10499
6,11026
7,12595
8,11868
9,12676
10,11584
11,11201
12,11126
13,10150
14,11612
15,17193
16,9708
17,11092
18,13799
19,15316
20,10017
21,15266
22,12061
23,9524
24,11621
25,10563
26,9814
27,13794
28,13203
29,10694
30,11501
31,10452
32,10045
33,11938
34,10425
35,12390
36,17930
37,10029
38,11064
39,11032
40,9957
41,10867
42,11088
43,10598
44,12885
45,11467
46,10842
47,12936
48,10681
49,12087
50,11240
51,15001
52,15620
53,12049
54,10413
55,11512
56,12563
57,10677
58,11258
59,10848
60,10071
61,10570
62,16694
63,10558
64,14076
65,11935
66,10015
67,12961
68,11290
69,12644
70,13677
71,10970
72,9276
73,12398
74,10830
75,11022
76,11866
77,10808
78,10762
79,10655
80,11548
81,11935
82,12322
83,12365
84,9808
85,11180
86,10599
87,11108
88,10955
89,10286
90,13814
91,10682
92,17149
93,10941
94,10260
95,11250
96,10907
97,10838
98,10523
99,15532
100,11428
101,10696
102,14187
103,12670
104,15309
105,9848
106,20275
107,11758
108,11582
109,13455
110,11670
111,11081
112,12142
113,11616
114,11478
115,11479
116,10320
117,11564
118,10552
119,11049
120,13751
121,11265
122,9154
123,13234
124,11497
125,9470
126,11153
127,10965
128,10893
129,10664
130,13001
131,16053
132,11480
133,11761
134,9973
135,12046
136,10853
137,9303
138,13921
139,19422
140,10569
141,12008
142,11701
143,10534
144,11690
145,12123
146,10351
147,13218
148,11700
149,10496
150,12750
151,10566
152,9476
153,10793
154,13037
155,12690
156,10755
157,14300
158,11550
159,13145
160,11163
161,18686
162,10427
163,11644
164,11390
165,10107
166,12003
167,11145
168,9179
169,16303
170,12076
171,11354
172,11416
173,12983
174,10455
175,11632
176,11982
177,10477
178,11220
179,10923
180,10841
181,10758
182,10695
183,11411
184,11099
185,11757
186,11140
187,13371
188,13828
189,13300
190,11077
191,10575
192,10970
193,12300
194,12466
195,10293
196,10407
197,10658
198,17560
199,10854
200,13509
201,15927
202,10898
203,11752
204,11300
205,11118
206,10923
207,10727
208,11028
209,11079
210,14099
211,13675
212,12235
213,12476
214,12068
215,10559
216,13463
217,11184
218,11976
219,10846
220,10883
221,10974
222,11336
223,11582
224,10976
225,16932
226,9820
227,10790
228,10504
229,11930
230,11008
231,12589
232,10349
233,20135
234,12769
235,11730
236,10658
237,10800
238,11532
239,8877
240,10977
241,11447
242,10251
243,11414
244,10527
245,12777
246,10686
247,11678
248,11848
249,11459
250,14190
251,11379
252,11499
253,10621
254,12176
255,11340
256,10785
257,10775
258,11052
259,10347
260,13134
261,10867
262,12906
263,12061
264,13664
265,10866
266,10734
267,9168
268,10009
269,11092
270,10570
271,11209
272,10510
273,10082
274,11510
275,12860
276,12306
277,9548
278,10654
279,10173
280,12371
281,10543
282,13306
283,14116
284,10443
285,11311
286,10911
287,10498
288,10848
289,11399
290,9504
291,10430
292,16905
293,11920
294,10802
295,11376
296,10373
297,11231
298,11452
299,13187
300,11841
301,12300
302,13487
303,11736
304,11516
305,10638
306,11321
307,10519
308,11706
309,11143
310,11023
311,9490
312,10204
313,11549
314,11193
315,16196
316,14885
317,11313
318,10670
319,10733
320,10012
321,11052
322,11216
323,11345
324,9805
325,10765
326,11357
327,11348
328,11108
329,11111
330,11295
331,10826
332,11065
333,12054
334,10267
335,10726
336,10831
337,11713
338,11056
339,11728
340,10445
341,12083
342,11178
343,12919
344,11366
345,12199
346,11163
347,12068
348,11224
349,17949
350,11707
351,12319
352,12373
353,11533
354,10841
355,12082
356,10734
357,11705
358,10753
359,11317
360,15498
361,10912
362,11331
363,10557
364,16768
365,10720
366,10647
367,13695
368,16629
369,10680
370,9981
371,11555
372,10951
373,14038
374,10871
375,11769
376,10950
377,10348
378,15014
379,12129
380,17823
381,11380
382,12459
383,10809
384,13733
385,10553
386,11727
387,11021
388,12811
389,10949
390,11061
391,10999
392,12272
393,12200
394,12003
395,12601
396,11135
397,11488
398,12108
399,13299
400,11787
401,13975
402,11679
403,12157
404,12686
405,11767
406,14527
407,11135
408,10684
409,11288
410,11494
411,11824
412,14333
413,12441
414,10984
415,10595
416,12884
417,10107
418,12888
419,10455
420,12006
421,11224
422,11004
423,12717
424,11990
425,14741
426,11088
427,11461
428,11436
429,10348
430,9591
431,10920
432,11285
433,11123
434,12093
435,11015
436,10555
437,12732
438,11501
439,11149
440,10707
441,11081
442,10396
443,9917
444,11228
445,14540
446,9593
447,11354
448,10295
449,11329
450,9449
451,10731
452,10745
453,10481
454,11535
455,9462
456,11200
457,14255
458,10957
459,10840
460,12925
461,12481
462,9999
463,9870
464,10155
465,11059
466,9926
467,10509
468,13219
469,10949
470,11570
471,16582
472,12105
473,12070
474,21866
475,10265
476,10265
477,10446
478,11529
479,11633
480,10397
481,12101
482,10592
483,12800
484,10782
485,11927
486,17609
487,10913
488,10299
489,11688
490,11195
491,12139
492,10561
493,12774
494,11199
495,12713
496,11114
497,11500
498,11557
499,11138
500,12511
501,10853
502,10667
503,11555
504,10468
505,10399
506,10168
507,12630
508,11612
509,11131
510,10987
511,11450
512,12398
513,12389
514,10684
515,14694
516,12097
517,8622
518,11523
519,10886
520,15454
521,11376
522,10853
523,10537
524,11759
525,10392
526,13201
527,11320
528,11569
529,11218
530,12468
531,11781
532,13645
533,11157
534,11272
535,10380
536,12552
537,10333
538,11494
539,11878
540,10627
541,13770
542,12478
543,10860
544,10063
545,15042
546,10001
547,11201
548,11775
549,15173
550,21467
551,15235
552,11355
553,10077
554,11058
555,11207
556,11415
557,11949
558,11820
559,16628
560,11654
561,13458
562,12246
563,14166
564,11082
565,11431
566,10223
567,10415
568,11534
569,12853
570,14287
571,10861
572,15191
573,11715
574,12964
575,10955
576,10909
577,10773
578,13009
579,15261
580,11293
581,14481
582,11206
583,15113
584,16463
585,12247
586,10356
587,11218
588,10911
589,12769
590,12604
591,22146
592,10974
593,11964
594,11187
595,10771
596,10545
597,10382
598,11828
599,12049
600,11282
601,11181
602,10756
603,12981
604,11637
605,11078
606,13173
607,12267
608,10715
609,13898
610,11352
611,12172
612,10588
613,10737
614,10482
615,12728
616,10718
617,10480
618,11672
619,10776
620,14178
621,10589
622,11599
623,10672
624,11525
625,13046
626,12981
627,16320
628,13952
629,10395
630,11216
631,10052
632,10388
