Time (sec), Avg. Response Time (us), Standard deviation (us)
1,10959.0,6838.35
2,9850.0,4487.65
3,13829.0,20535.56
4,10653.0,6236.39
5,10499.0,6539.96
6,11026.0,6362.31
7,12595.0,14918.15
8,11868.0,16495.04
9,12676.0,16165.69
10,11584.0,10662.34
11,11201.0,9439.77
12,11126.0,8582.5
13,10150.0,4320.59
14,11612.0,15024.06
15,17193.0,59461.74
16,9708.0,5006.93
17,11092.0,10691.84
18,13799.0,22270.43
19,15316.0,27156.49
20,10017.0,5859.12
21,15266.0,37900.26
22,12061.0,15036.28
23,9524.0,4554.07
24,11621.0,5306.99
25,10563.0,5074.78
26,9814.0,4148.9
27,13794.0,12237.07
28,13203.0,20110.83
29,10694.0,5485.13
30,11501.0,14309.67
31,10452.0,5575.86
32,10045.0,8712.73
33,11938.0,15991.49
34,10425.0,7275.53
35,12390.0,17746.42
36,17930.0,46995.12
37,10029.0,4747.12
38,11064.0,6085.16
39,11032.0,7138.01
40,9957.0,6947.67
41,10867.0,7436.55
42,11088.0,8395.47
43,10598.0,6038.58
44,12885.0,12453.24
45,11467.0,11820.06
46,10842.0,10690.57
47,12936.0,9264.26
48,10681.0,5296.04
49,12087.0,15127.6
50,11240.0,5700.33
51,15001.0,19115.57
52,15620.0,27556.36
53,12049.0,9998.17
54,10413.0,4854.49
55,11512.0,7192.59
56,12563.0,16348.96
57,10677.0,5887.33
58,11258.0,7594.72
59,10848.0,5844.94
60,10071.0,5842.43
61,10570.0,6324.48
62,16694.0,25964.92
63,10558.0,6639.53
64,14076.0,14929.53
65,11935.0,15433.93
66,10015.0,4319.6
67,12961.0,16774.01
68,11290.0,14455.49
69,12644.0,17044.14
70,13677.0,24379.58
71,10970.0,6694.4
72,9276.0,4908.26
73,12398.0,16788.69
74,10830.0,17491.38
75,11022.0,7272.77
76,11866.0,24723.36
77,10808.0,6002.61
78,10762.0,8650.46
79,10655.0,5438.76
80,11548.0,9727.61
81,11935.0,9243.07
82,12322.0,18536.11
83,12365.0,21231.84
84,9808.0,6148.08
85,11180.0,11209.64
86,10599.0,4730.79
87,11108.0,7368.49
88,10955.0,6157.58
89,10286.0,4697.58
90,13814.0,24246.74
91,10682.0,6881.48
92,17149.0,31608.47
93,10941.0,6038.1
94,10260.0,4585.46
95,11250.0,8950.96
96,10907.0,6370.74
97,10838.0,6290.2
98,10523.0,5749.64
99,15532.0,38927.4
100,11428.0,8595.87
101,10696.0,5617.27
102,14187.0,19600.55
103,12670.0,19252.12
104,15309.0,35855.68
105,9848.0,6846.87
106,20275.0,66623.51
107,11758.0,10494.9
108,11582.0,8675.02
109,13455.0,19970.29
110,11670.0,10183.86
111,11081.0,6963.35
112,12142.0,7026.47
113,11616.0,7445.28
114,11478.0,8215.2
115,11479.0,10040.1
116,10320.0,4749.89
117,11564.0,7592.64
118,10552.0,5779.35
119,11049.0,5949.85
120,13751.0,14345.85
121,11265.0,7122.09
122,9154.0,5860.66
123,13234.0,21229.25
124,11497.0,12541.89
125,9470.0,5269.83
126,11153.0,6041.63
127,10965.0,10830.95
128,10893.0,11932.81
129,10664.0,5304.67
130,13001.0,12381.9
131,16053.0,29698.42
