Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
1,11811.0,13810.57
2,11401.0,12829.87
3,11309.0,9703.93
4,11201.0,9934.27
5,11750.0,10416.94
6,11381.0,9193.63
7,11403.0,8693.42
8,11450.0,13824.0
9,11318.0,10978.12
10,11044.0,8493.39
11,11823.0,11949.25
12,12429.0,14968.55
13,11226.0,9181.62
14,12075.0,13482.61
15,11968.0,13469.55
16,12676.0,17056.56
17,11831.0,12986.33
18,11991.0,13118.79
19,12431.0,15543.08
20,11174.0,10722.74
21,11212.0,9220.91
22,10875.0,7241.49
23,12171.0,13799.22
24,11274.0,9638.36
25,10899.0,7734.26
26,13047.0,25637.9
27,12065.0,13956.23
28,10974.0,9583.59
29,11716.0,11255.36
30,12687.0,18310.75
31,11266.0,10286.0
32,10989.0,9432.76
33,11525.0,11171.94
34,11696.0,10639.87
35,11398.0,9956.52
36,10692.0,7744.31
37,11649.0,12773.2
38,13340.0,20943.34
39,11162.0,11744.91
40,11666.0,18872.89
41,11148.0,10677.12
42,10864.0,9260.3
43,11504.0,11478.77
44,11424.0,12733.77
45,11682.0,12878.88
46,11558.0,12236.7
47,11075.0,8469.61
48,11823.0,16607.06
49,11609.0,12658.53
50,11569.0,10859.47
51,11447.0,9338.23
52,11886.0,12762.92
53,11621.0,10099.73
54,11530.0,11120.64
55,10923.0,8006.49
56,11627.0,10809.43
57,11339.0,10631.75
58,11630.0,12229.66
59,11379.0,8553.05
60,11456.0,12608.26
61,11873.0,17687.25
62,11598.0,12615.42
63,11489.0,10426.9
64,12263.0,15059.87
65,11939.0,10603.27
66,11955.0,11974.12
67,11347.0,8534.85
68,11518.0,10690.48
69,12000.0,14276.43
70,11981.0,10995.57
71,10929.0,8583.24
72,12092.0,17168.34
73,11429.0,10992.52
74,11000.0,10099.46
75,11085.0,11903.02
76,12062.0,16719.59
77,11345.0,11175.57
78,11544.0,11426.21
79,12584.0,17867.56
80,11297.0,9444.34
81,12237.0,17418.64
82,12090.0,14388.63
83,11005.0,7165.1
84,11874.0,13638.14
85,11938.0,14677.86
86,11245.0,9689.75
87,11948.0,19945.3
88,11612.0,12031.29
89,11507.0,10767.01
90,11352.0,11381.06
91,11558.0,16585.39
92,11078.0,8873.18
93,11611.0,10052.69
94,11912.0,18016.12
95,12137.0,13871.55
96,12121.0,17045.27
97,11570.0,11806.36
98,13533.0,42095.99
99,11197.0,13213.61
100,11443.0,14283.11
101,11212.0,11101.83
102,11848.0,13820.52
103,12309.0,18918.82
104,11680.0,12363.03
105,11879.0,14525.14
106,11462.0,10467.96
107,11289.0,13169.79
108,11226.0,10729.84
109,12017.0,13876.24
110,11234.0,8401.93
111,11190.0,13018.84
112,12418.0,17425.71
113,11783.0,13176.45
114,12162.0,13293.85
115,12262.0,15496.58
116,12089.0,14366.75
117,12125.0,15965.37
118,12161.0,15726.84
119,11791.0,11159.58
120,12101.0,11658.6
121,11135.0,8966.48
122,11743.0,12511.11
123,11541.0,8394.83
124,11800.0,17639.78
125,12110.0,15720.26
126,12550.0,15894.63
127,11974.0,15637.69
128,12688.0,20504.74
129,12595.0,15121.17
130,11520.0,13552.63
131,12409.0,16283.26
132,11474.0,10065.84
133,11978.0,14550.96
134,12913.0,20074.39
135,11695.0,14765.96
136,12029.0,14800.45
137,11756.0,13812.92
138,11277.0,10256.09
139,11910.0,13142.3
140,11999.0,13949.66
141,12725.0,20316.37
142,12334.0,15345.35
143,12094.0,14231.8
144,11915.0,12489.54
145,12070.0,15568.99
146,11040.0,9076.29
147,11512.0,14663.49
148,11554.0,12266.02
149,11767.0,15125.02
150,11559.0,13046.73
151,12368.0,20098.21
152,11267.0,11046.59
153,12683.0,18046.4
154,11475.0,15223.66
155,12179.0,15051.74
156,12877.0,18382.56
157,11700.0,17030.84
158,11414.0,12516.33
159,12693.0,17713.72
160,11784.0,13909.79
161,12461.0,15873.47
162,11644.0,11864.1
163,11617.0,14994.05
164,11036.0,9079.26
165,11940.0,15935.47
166,12020.0,15645.68
167,11875.0,16364.53
168,12174.0,13683.25
169,12756.0,24566.38
170,12115.0,15575.07
171,11806.0,16863.52
172,12208.0,24650.73
173,11663.0,15321.02
174,11580.0,11847.75
175,12278.0,12270.5
176,11938.0,14726.56
177,12245.0,16297.11
178,11845.0,12408.21
179,12283.0,14947.02
180,12462.0,22012.8
181,12431.0,16948.36
182,11186.0,11143.63
183,11668.0,13592.12
184,12110.0,18129.31
185,11409.0,13466.74
186,11016.0,10259.95
187,12335.0,18071.99
188,11819.0,15738.87
189,11956.0,17665.18
190,11284.0,8437.4
191,11597.0,11106.54
192,12049.0,13311.72
193,12645.0,17480.25
194,12255.0,15527.13
195,13163.0,21483.19
196,11559.0,9767.27
197,12433.0,15210.43
198,12055.0,12790.56
199,11665.0,11279.28
200,11346.0,10318.48
201,11721.0,12443.1
202,11851.0,15215.35
203,14296.0,30981.65
204,11754.0,15739.26
205,11860.0,13416.32
206,13070.0,32512.27
207,12361.0,18606.49
208,11513.0,13130.68
209,11649.0,12832.71
210,11695.0,14428.5
211,11001.0,8530.85
212,13061.0,25083.89
213,11587.0,10378.38
214,11726.0,13913.82
215,12920.0,17385.77
216,11645.0,17151.08
217,11858.0,14884.38
218,12139.0,15665.24
219,11586.0,10211.33
220,11828.0,9413.75
221,12892.0,16566.62
222,11916.0,13647.07
223,12897.0,16113.29
224,12265.0,16570.2
225,11579.0,12675.3
226,12070.0,13685.24
227,11177.0,10083.14
228,12367.0,12588.77
229,11434.0,13825.97
230,12169.0,12972.39
231,12072.0,15665.63
232,11600.0,9578.41
233,12622.0,18376.48
234,12523.0,17063.13
235,12047.0,13461.12
236,12365.0,18614.63
237,12765.0,19315.94
238,12042.0,15462.1
239,12146.0,14642.84
240,11546.0,11788.0
241,11345.0,10736.91
242,12569.0,20591.79
243,11305.0,9895.31
244,12093.0,15538.6
245,11317.0,15458.38
246,12854.0,23663.94
247,11728.0,13491.23
248,11292.0,9081.52
249,12063.0,13218.87
250,13184.0,20917.27
251,11875.0,15065.76
252,11835.0,12968.97
253,12154.0,18615.45
254,11318.0,10927.39
255,12950.0,19628.84
256,12094.0,15484.16
257,12421.0,17109.13
258,12599.0,17642.98
259,12100.0,15145.33
260,12192.0,20365.95
261,10987.0,7092.69
262,11241.0,10688.18
263,11610.0,12304.96
264,11421.0,9190.71
265,12056.0,16374.67
266,11690.0,10659.29
267,11877.0,10020.95
268,12515.0,16167.62
269,12193.0,14443.14
270,12736.0,21809.45
271,11886.0,12735.4
272,12438.0,14966.57
273,13061.0,20753.04
274,11882.0,14798.82
275,11766.0,12702.44
276,12082.0,22214.63
277,11485.0,12673.77
278,11112.0,14494.57
279,11203.0,10406.9
280,12494.0,18013.63
281,11983.0,14747.32
282,11701.0,12113.68
283,12049.0,16206.77
284,11636.0,11246.91
285,11224.0,9737.61
286,11894.0,13502.28
287,11674.0,12287.23
288,11178.0,9354.03
289,12573.0,16422.57
290,12331.0,15152.42
291,11784.0,12265.83
292,11323.0,9624.68
293,11535.0,12061.51
294,11137.0,9240.42
295,11839.0,17245.19
296,12244.0,14392.08
297,13006.0,20364.39
298,12504.0,15182.96
299,12916.0,17282.75
300,11615.0,15333.24
301,11532.0,13629.42
302,11835.0,14352.96
303,12697.0,20021.49
304,11627.0,12382.25
305,11683.0,10674.07
306,12164.0,11532.9
307,12545.0,19032.98
308,11862.0,12329.74
309,11727.0,14711.94
310,12220.0,15863.16
311,12434.0,19747.33
