Time (sec), TPS (ops/sec)
1,5636
2,5999
3,4836
4,5898
5,5668
6,5353
7,5985
8,5027
9,5381
10,4998
11,5760
12,6189
13,5487
14,2727
15,6106
16,6114
17,5019
18,4131
19,5514
20,6086
21,3736
22,5708
23,5820
24,5797
25,6161
26,5345
27,4141
28,6122
29,5932
30,5161
31,6516
32,5021
33,6040
34,6012
35,3114
36,5414
37,6103
38,5657
39,6258
40,5734
41,5969
42,5514
43,5172
44,4914
45,6502
46,5249
47,5626
48,5793
49,4809
50,4928
51,3940
52,5481
53,5331
54,5923
55,4809
56,5231
57,5829
58,5860
59,5862
60,6245
61,5176
62,4577
63,5323
64,5018
65,5213
66,5888
67,5333
68,4665
69,4534
70,5811
71,5857
72,6205
73,6224
74,4887
75,6108
76,5039
77,5712
78,6157
79,5632
80,5403
81,4615
82,5021
83,6458
84,5564
85,6115
86,5784
87,5647
88,5941
89,5019
90,5841
91,5007
92,4135
93,6030
94,5756
95,6247
96,5798
97,5578
98,4197
99,5527
100,5964
101,5641
102,4466
103,3087
104,5810
105,4351
106,4858
107,5625
108,4753
109,5258
110,5608
111,5418
112,5058
113,5441
114,5762
115,5729
116,5522
117,6101
118,5647
119,5580
120,4839
121,5737
122,6544
123,5074
124,6144
125,5868
126,5052
127,6762
128,5472
129,5270
130,3916
131,4891
132,6235
133,5012
134,6655
135,5808
136,5942
137,5703
138,2624
139,5654
140,5904
141,5040
142,5460
143,5560
144,5648
145,5553
146,6085
147,4208
148,5898
149,5018
150,6250
151,6242
152,6372
153,5847
154,3831
155,6134
156,5496
157,4760
158,4804
159,5299
160,4116
161,5273
162,5367
163,6026
164,6032
165,5150
166,5205
167,7081
168,5576
169,4163
170,5279
171,5513
172,4730
173,5909
174,5688
175,5145
176,5970
177,5453
178,5921
179,5662
180,5869
181,5844
182,5648
183,5471
184,5306
185,5980
186,4648
187,4488
188,4415
189,5679
190,6130
191,5532
192,5030
193,5402
194,5825
195,6181
196,5972
197,3431
198,5449
199,4661
200,3671
201,6039
202,5606
203,5161
204,5700
205,5932
206,5492
207,5774
208,5781
209,4557
210,5198
211,4456
212,5170
213,5098
214,5816
215,4946
216,5586
217,5105
218,5744
219,5741
220,5582
221,5760
222,5382
223,5879
224,3577
225,6455
226,5842
227,5809
228,5289
229,5711
230,5053
231,5786
232,2822
233,5192
234,5351
235,5767
236,5881
237,5563
238,7264
239,6003
240,5383
241,5969
242,5812
243,5681
244,4927
245,5931
246,5359
247,5234
248,5462
249,4375
250,5603
251,5426
252,5934
253,5279
254,5776
255,5673
256,5718
257,5927
258,5893
259,4941
260,5772
261,4987
262,5200
263,4646
264,5747
265,5969
266,6818
267,6377
268,5757
269,6029
270,5708
271,5931
272,6411
273,5384
274,4746
275,5017
276,6663
277,5677
278,6100
279,5073
280,5753
281,4735
282,4702
283,6116
284,5528
285,5873
286,6031
287,5809
288,5667
289,6868
290,6132
291,3368
292,5980
293,5964
294,5527
295,6159
296,5329
297,5183
298,5074
299,5657
300,5179
301,4610
302,5365
303,5587
304,5958
305,5595
306,6005
307,5122
308,5714
309,5684
310,6692
311,6051
312,5398
313,5645
314,3790
315,4485
316,5593
317,6060
318,5860
319,6334
320,5798
321,5673
322,5563
323,6655
324,5946
325,5565
326,5702
327,5819
328,5642
329,5681
330,5957
331,5710
332,5292
333,6248
334,5848
335,5722
336,5314
337,5773
338,5358
339,6193
340,5044
341,5708
342,4906
343,5598
344,5056
345,5811
346,5171
347,5249
348,3763
349,5410
350,5110
351,5163
352,5464
353,5904
354,5259
355,5912
356,5387
357,6021
358,5648
359,4162
360,5910
361,5592
362,5900
363,3679
364,5883
365,5871
366,4680
367,3724
368,5898
369,6226
370,5361
371,5678
372,4496
373,5751
374,5297
