nr. clients,STDev Resp. Time (us)
180,6147.1035629563685
190,5162.887725356746
200,6197.563689141619
210,7445.916625681647
220,7446.309455524433
230,6402.760533204433
240,6427.97767717872
250,8006.687145369294
