nr. clients,Avg. Agg. TPS (ops/sec)
180,15108.641666666665
190,15528.912499999999
200,15469.395833333334
210,15312.675000000001
220,15115.233333333334
230,15750.183333333334
240,15822.583333333334
250,15599.175
