nr. clients,STDev (ops/sec)
180,913.1579319835388
190,800.8755778057429
200,858.4091323789137
210,1073.8630532533384
220,1008.5088902537743
230,883.7833629473323
240,869.2937523617386
250,1120.7430615495841
