Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 10458200, 10110500, 329200, 1252682460122, 1252682467222, 1252692577722, 1252692580522, 1252692909722, 1252692918322, true, 15
set, 1020600, 6300, 949300, 1252696693522, 1252696700122, 1252696706422, 1252696708922, 1252697658222, 1252697714122, true, 0
get, 6289400, 23400, 6241900, 1252694286022, 1252694292222, 1252694315622, 1252694318122, 1252700560022, 1252700575422, true, 20
get, 9906100, 8865100, 1021300, 1252698189622, 1252698196022, 1252707061122, 1252707063422, 1252708084722, 1252708095722, true, 28
get, 2700400, 424200, 2207200, 1252721989622, 1252721995322, 1252722419522, 1252722473422, 1252724680622, 1252724690022, true, 42
get, 3383000, 2025600, 1319700, 1252724515522, 1252724523722, 1252726549322, 1252726551622, 1252727871322, 1252727898522, true, 21
get, 4758200, 3088000, 1652600, 1252733588822, 1252733594122, 1252736682122, 1252736684222, 1252738336822, 1252738347022, true, 38
get, 4048400, 3334300, 690400, 1252738686222, 1252738692522, 1252742026822, 1252742029522, 1252742719922, 1252742734622, true, 9
get, 980500, 15800, 948300, 1252753690122, 1252753695222, 1252753711022, 1252753713322, 1252754661622, 1252754670622, true, 24
get, 383400, 19600, 346500, 1252786412322, 1252786417122, 1252786436722, 1252786439022, 1252786785522, 1252786795722, true, 21
get, 5252000, 4698300, 531200, 1252797362122, 1252797366822, 1252802065122, 1252802073522, 1252802604722, 1252802614122, true, 16
set, 2817600, 1673500, 1018700, 1252807198522, 1252807202822, 1252808876322, 1252808877822, 1252809896522, 1252810016122, true, 0
get, 4605600, 4023000, 564400, 1252806833822, 1252806838022, 1252810861022, 1252810863322, 1252811427722, 1252811439422, true, 41
get, 13319200, 4270600, 9030900, 1252811528422, 1252811533222, 1252815803822, 1252815806222, 1252824837122, 1252824847622, true, 8
get, 1422900, 17600, 1226500, 1252826873422, 1252827038722, 1252827056322, 1252827058822, 1252828285322, 1252828296322, true, 28
get, 5996400, 119700, 5856500, 1252847709822, 1252847716422, 1252847836122, 1252847839022, 1252853695522, 1252853706222, true, 17
set, 12936600, 4100, 11789500, 1252847409222, 1252847413322, 1252847417422, 1252847418822, 1252859208322, 1252860345822, true, 0
get, 3107700, 2223200, 867300, 1252866171922, 1252866176422, 1252868399622, 1252868403622, 1252869270922, 1252869279622, true, 17
get, 11600500, 5104200, 6478600, 1252870281022, 1252870286722, 1252875390922, 1252875392822, 1252881871422, 1252881881522, true, 43
get, 18173700, 9658700, 8501400, 1252872176822, 1252872181022, 1252881839722, 1252881841922, 1252890343322, 1252890350522, true, 47
get, 3875100, 3158900, 702800, 1252897703322, 1252897707622, 1252900866522, 1252900868922, 1252901571722, 1252901578422, true, 21
get, 11228400, 10512100, 684200, 1252899367622, 1252899371822, 1252909883922, 1252909901522, 1252910585722, 1252910596022, true, 30
get, 1589300, 11600, 1555300, 1252919969822, 1252919976322, 1252919987922, 1252919991522, 1252921546822, 1252921559122, true, 17
get, 5831300, 2502800, 3317100, 1252921465422, 1252921469522, 1252923972322, 1252923974122, 1252927291222, 1252927296722, true, 47
get, 7176700, 3376400, 3787000, 1252933971422, 1252933975722, 1252937352122, 1252937354422, 1252941141422, 1252941148122, true, 46
get, 10169700, 9347000, 808300, 1252924178222, 1252924182822, 1252933529822, 1252933532122, 1252934340422, 1252934347922, true, 47
get, 8565600, 6691400, 1852400, 1252938987422, 1252938991822, 1252945683222, 1252945685322, 1252947537722, 1252947553022, true, 47
get, 13466300, 8291900, 5161300, 1252946314122, 1252946318322, 1252954610222, 1252954613522, 1252959774822, 1252959780422, true, 47
get, 10001500, 8358000, 1629400, 1252951122922, 1252951126922, 1252959484922, 1252959486822, 1252961116222, 1252961124422, true, 47
get, 5374700, 3337600, 2014100, 1252961383122, 1252961387122, 1252964724722, 1252964727122, 1252966741222, 1252966757822, true, 33
set, 2739800, 151500, 2526000, 1252964433222, 1252964437522, 1252964589022, 1252964590722, 1252967116722, 1252967173022, true, 0
get, 2704900, 893400, 1792800, 1252967350922, 1252967355222, 1252968248622, 1252968251622, 1252970044422, 1252970055822, true, 41
get, 16836100, 9386700, 7435200, 1252971751722, 1252971755722, 1252981142422, 1252981145922, 1252988581122, 1252988587822, true, 47
get, 10854300, 5538900, 5301400, 1252981133322, 1252981137522, 1252986676422, 1252986679522, 1252991980922, 1252991987622, true, 47
get, 11833900, 7341600, 4479700, 1252992186122, 1252992190122, 1252999531722, 1252999534922, 1253004014622, 1253004020022, true, 47
get, 20768500, 11728800, 9026000, 1252995170222, 1252995174122, 1253006902922, 1253006905922, 1253015931922, 1253015938722, true, 25
get, 11085500, 4779400, 6291400, 1253006257522, 1253006263622, 1253011043022, 1253011045122, 1253017336522, 1253017343022, true, 23
get, 4412700, 1751500, 2645400, 1253019164722, 1253019168922, 1253020920422, 1253020922622, 1253023568022, 1253023577422, true, 40
set, 5784400, 3345000, 2346900, 1253020053322, 1253020057622, 1253023402622, 1253023404222, 1253025751122, 1253025837722, true, 0
get, 16478400, 15112400, 1354900, 1253020443222, 1253020447222, 1253035559622, 1253035561722, 1253036916622, 1253036921622, true, 47
get, 10048800, 7099100, 2937000, 1253028554522, 1253028558522, 1253035657622, 1253035660022, 1253038597022, 1253038603322, true, 46
get, 640600, 64300, 554400, 1253046742722, 1253046746722, 1253046811022, 1253046814222, 1253047368622, 1253047383322, true, 12
get, 5313000, 3838300, 1462600, 1253049239122, 1253049242922, 1253053081222, 1253053083222, 1253054545822, 1253054552122, true, 43
get, 3428100, 2971400, 442100, 1253051484922, 1253051490622, 1253054462022, 1253054464822, 1253054906922, 1253054913022, true, 42
get, 6475400, 5578800, 886000, 1253061582522, 1253061586422, 1253067165222, 1253067167222, 1253068053222, 1253068057922, true, 47
get, 4608700, 2983800, 1605800, 1253066274122, 1253066278022, 1253069261822, 1253069265222, 1253070871022, 1253070882822, true, 45
get, 1761300, 282600, 1461700, 1253076985722, 1253076990022, 1253077272622, 1253077274322, 1253078736022, 1253078747022, true, 47
get, 11605400, 2876700, 8715100, 1253078577422, 1253078581422, 1253081458122, 1253081460722, 1253090175822, 1253090182822, true, 47
set, 4546500, 1546700, 2137200, 1253088739022, 1253088813222, 1253090359922, 1253090888122, 1253093025322, 1253093285522, true, 0
get, 4865400, 2113600, 2735200, 1253090946522, 1253090954322, 1253093067922, 1253093070022, 1253095805222, 1253095811922, true, 44
get, 7997200, 5273300, 2711200, 1253087702222, 1253087706022, 1253092979322, 1253092981522, 1253095692722, 1253095699422, true, 46
get, 3462100, 1140000, 2297900, 1253096459222, 1253096462822, 1253097602822, 1253097604522, 1253099902422, 1253099921322, true, 46
get, 2967700, 32600, 2893700, 1253107091122, 1253107095022, 1253107127622, 1253107129522, 1253110023222, 1253110058822, true, 47
get, 7047400, 5705400, 1323600, 1253109763022, 1253109766722, 1253115472122, 1253115473622, 1253116797222, 1253116810422, true, 47
