Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
get, 7609700, 79800, 616400, 795020437022, 795020452922, 795020532722, 795026840622, 795027457022, 795028046722, true, 2
set, 22237400, 635300, 21275700, 795005769422, 795005862422, 795006497722, 795006512122, 795027787822, 795028006822, true, 0
set, 7575400, 1490200, 5452500, 795046760222, 795046770122, 795048260322, 795048262522, 795053715022, 795054335622, true, 0
get, 6970500, 5916600, 1025400, 795098765122, 795098774322, 795104690922, 795104693522, 795105718922, 795105735622, true, 21
get, 8570700, 8131200, 410000, 795115618622, 795115629222, 795123760422, 795123763222, 795124173222, 795124189322, true, 18
get, 443800, 33300, 363900, 795143691422, 795143713922, 795143747222, 795143751122, 795144115022, 795144135222, true, 7
get, 1455900, 636400, 764500, 795161775222, 795161804822, 795162441222, 795162444422, 795163208922, 795163231122, true, 21
get, 8748900, 7916900, 757100, 795180563222, 795180584322, 795188501222, 795188504322, 795189261422, 795189312122, true, 6
get, 3092300, 2025500, 1035600, 795207405022, 795207413122, 795209438622, 795209442222, 795210477822, 795210497322, true, 18
get, 2774100, 309300, 2432700, 795223447122, 795223454622, 795223763922, 795223766722, 795226199422, 795226221222, true, 19
get, 6609200, 5889600, 681900, 795229495422, 795229510922, 795235400522, 795235403422, 795236085322, 795236104622, true, 32
get, 2612400, 1730900, 854400, 795258036422, 795258044122, 795259775022, 795259777622, 795260632022, 795260648822, true, 22
get, 15162900, 7807100, 579600, 795249878922, 795249911422, 795257718522, 795257721322, 795258300922, 795265041822, true, 9
get, 1057900, 59100, 959400, 795280662822, 795280673822, 795280732922, 795280738422, 795281697822, 795281720722, true, 9
get, 504700, 36700, 437100, 795297111822, 795297119822, 795297156522, 795297159722, 795297596822, 795297616522, true, 2
get, 2089000, 31400, 2027400, 795308525522, 795308533322, 795308564722, 795308567922, 795310595322, 795310614522, true, 18
get, 3189700, 30600, 3123000, 795327454622, 795327461022, 795327491622, 795327494822, 795330617822, 795330644322, true, 22
get, 761300, 30100, 681400, 795340623522, 795340630722, 795340660822, 795340664622, 795341346022, 795341384822, true, 10
get, 2528000, 1787000, 713500, 795357821922, 795357828122, 795359615122, 795359617722, 795360331222, 795360349922, true, 17
get, 1996900, 470800, 1503500, 795372245022, 795372251922, 795372722722, 795372724922, 795374228422, 795374241922, true, 19
get, 4347400, 3289800, 1035100, 795380373322, 795380380322, 795383670122, 795383672422, 795384707522, 795384720722, true, 11
get, 4777900, 4290600, 467200, 795394976822, 795394982722, 795399273322, 795399276022, 795399743222, 795399754722, true, 34
get, 1961500, 850200, 1091200, 795403737222, 795403743322, 795404593522, 795404595722, 795405686922, 795405698722, true, 14
get, 7267800, 6128000, 1116000, 795408299622, 795408305622, 795414433622, 795414436322, 795415552322, 795415567422, true, 41
get, 731800, 52100, 645200, 795427814822, 795427821222, 795427873322, 795427877222, 795428522422, 795428546622, true, 30
get, 7944400, 2243500, 5676300, 795438527622, 795438533322, 795440776822, 795440779422, 795446455722, 795446472022, true, 7
get, 2957400, 1956500, 979400, 795453274522, 795453281022, 795455237522, 795455241322, 795456220722, 795456231922, true, 27
get, 10734100, 2252300, 8453600, 795456425722, 795456431822, 795458684122, 795458686422, 795467140022, 795467159822, true, 45
get, 23386400, 4882400, 18465000, 795463922322, 795463928222, 795468810622, 795468813622, 795487278622, 795487308722, true, 23
get, 19754000, 19468600, 255600, 795468482322, 795468488222, 795487956822, 795487958922, 795488214522, 795488236322, true, 17
get, 16581600, 7728700, 8831500, 795490371722, 795490377922, 795498106622, 795498108522, 795506940022, 795506953322, true, 47
get, 3300000, 1884400, 1396600, 795508228522, 795508234422, 795510118822, 795510120922, 795511517522, 795511528522, true, 46
get, 7285500, 3811800, 3455400, 795504313122, 795504319122, 795508130922, 795508133422, 795511588822, 795511598622, true, 47
get, 11119500, 10011800, 1081300, 795511247222, 795511258822, 795521270622, 795521272822, 795522354122, 795522366722, true, 43
get, 3463700, 2682200, 763500, 795537741022, 795537747022, 795540429222, 795540431522, 795541195022, 795541204722, true, 45
get, 12691100, 4300800, 8371600, 795526983422, 795526989222, 795531290022, 795531291922, 795539663522, 795539674522, true, 47
get, 15961600, 8741000, 7200900, 795541020422, 795541026622, 795549767622, 795549769922, 795556970822, 795556982022, true, 47
get, 7600800, 7230700, 346100, 795550250922, 795550257522, 795557488222, 795557496122, 795557842222, 795557851722, true, 41
get, 10274900, 3795700, 6456100, 795562591022, 795562597722, 795566393422, 795566395822, 795572851922, 795572865922, true, 40
get, 7609800, 7165200, 421400, 795566319122, 795566325222, 795573490422, 795573492822, 795573914222, 795573928922, true, 42
get, 9180000, 1789300, 6931400, 795580008722, 795580014622, 795581803922, 795581805722, 795588737122, 795589188722, true, 38
get, 2166900, 1250400, 900000, 795589960622, 795589966222, 795591216622, 795591218822, 795592118822, 795592127522, true, 41
get, 15234400, 14626500, 586000, 795593004122, 795593011722, 795607638222, 795607640522, 795608226522, 795608238522, true, 47
get, 15397800, 8087900, 7276500, 795601259722, 795601265622, 795609353522, 795609355522, 795616632022, 795616657522, true, 47
get, 6739300, 5989500, 732200, 795612054522, 795612060322, 795618049822, 795618051822, 795618784022, 795618793822, true, 41
get, 606300, 24300, 561100, 795620287622, 795620294322, 795620318622, 795620320622, 795620881722, 795620893922, true, 18
get, 1408900, 292300, 1097200, 795630249722, 795630256622, 795630548922, 795630551222, 795631648422, 795631658622, true, 13
get, 3412000, 2551000, 840700, 795641753922, 795641759822, 795644310822, 795644313122, 795645153822, 795645165922, true, 47
get, 6723100, 162100, 375000, 795645456322, 795651629022, 795651791122, 795651794222, 795652169222, 795652179422, true, 7
get, 6596800, 5061400, 1516200, 795666101722, 795666108122, 795671169522, 795671172222, 795672688422, 795672698522, true, 10
get, 606000, 35500, 550800, 795683247522, 795683252522, 795683288022, 795683291022, 795683841822, 795683853522, true, 20
get, 3030100, 2349800, 665400, 795686014422, 795686020322, 795688370122, 795688371922, 795689037322, 795689044522, true, 12
get, 425600, 21800, 356700, 795712255922, 795712291822, 795712313622, 795712315622, 795712672322, 795712681522, true, 15
get, 11622200, 2213600, 9389800, 795701819322, 795701824322, 795704037922, 795704040522, 795713430322, 795713441522, true, 13
get, 1750600, 342400, 1390200, 795735634622, 795735640822, 795735983222, 795735986222, 795737376422, 795737385222, true, 7
