Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
get, 7407600, 6394600, 996600, 16292696465512, 16292696471812, 16292702866412, 16292702868212, 16292703864812, 16292703873112, true
get, 4809600, 4408200, 384900, 16292708788412, 16292708793812, 16292713202012, 16292713203912, 16292713588812, 16292713598012, true
get, 1394000, 463000, 915700, 16292749634012, 16292749639312, 16292750102312, 16292750104512, 16292751020212, 16292751028012, true
get, 13027500, 12491400, 511600, 16292759957812, 16292759963012, 16292772454412, 16292772455912, 16292772967512, 16292772985312, true
get, 15490100, 7956700, 7517300, 16292766413812, 16292766418812, 16292774375512, 16292774377512, 16292781894812, 16292781903912, true
get, 8541900, 7278000, 1246300, 16292775638412, 16292775643412, 16292782921412, 16292782923312, 16292784169612, 16292784180312, true
get, 13128400, 12304300, 807800, 16292793688912, 16292793694012, 16292805998312, 16292806000512, 16292806808312, 16292806817312, true
set, 13448800, 11983300, 1307100, 16292794222112, 16292794227112, 16292806210412, 16292806211912, 16292807519012, 16292807670912, true
get, 17031000, 15190700, 1824700, 16292823104412, 16292823107512, 16292838298212, 16292838299912, 16292840124612, 16292840135412, true
get, 46929700, 36219400, 10694200, 16292796019012, 16292796024212, 16292832243612, 16292832245212, 16292842939412, 16292842948712, true
get, 12696700, 2437000, 10034400, 16292841010212, 16292841013412, 16292843450412, 16292843452112, 16292853486512, 16292853706912, true
get, 14560300, 5243200, 9299300, 16292850648712, 16292850652012, 16292855895212, 16292855897312, 16292865196612, 16292865209012, true
get, 5170900, 4622300, 535700, 16292877053112, 16292877056312, 16292881678612, 16292881680412, 16292882216112, 16292882224012, true
get, 1776400, 141100, 1622300, 16292890160212, 16292890163112, 16292890304212, 16292890306012, 16292891928312, 16292891936612, true
get, 16684800, 6752700, 9917900, 16292867727912, 16292867730712, 16292874483412, 16292874485412, 16292884403312, 16292884412712, true
get, 9181900, 1092900, 8074300, 16292880504512, 16292880507612, 16292881600512, 16292881602112, 16292889676412, 16292889686412, true
get, 596700, 80500, 501000, 16292900141112, 16292900145012, 16292900225512, 16292900227412, 16292900728412, 16292900737812, true
get, 11565700, 1762500, 9788700, 16292902535212, 16292902538112, 16292904300612, 16292904302412, 16292914091112, 16292914100912, true
set, 43581800, 1357000, 42119400, 16292893544112, 16292893547212, 16292894904212, 16292894905512, 16292937024912, 16292937125912, true
get, 20729100, 7038300, 13672700, 16292917695812, 16292917698712, 16292924737012, 16292924739712, 16292938412412, 16292938424912, true
get, 8159000, 7218700, 924800, 16292940546212, 16292940550612, 16292947769312, 16292947771612, 16292948696412, 16292948705212, true
get, 16049400, 6220600, 9814600, 16292951319812, 16292951323012, 16292957543612, 16292957545812, 16292967360412, 16292967369212, true
get, 1253000, 244600, 993600, 16292963548512, 16292963552812, 16292963797412, 16292963799112, 16292964792712, 16292964801512, true
get, 12354900, 10763300, 1579200, 16292928266712, 16292928269712, 16292939033012, 16292939034812, 16292940614012, 16292940621612, true
get, 8788200, 8038200, 736100, 16292976333112, 16292976336112, 16292984374312, 16292984376512, 16292985112612, 16292985121312, true
get, 12733700, 2431000, 10286400, 16292974508012, 16292974511512, 16292976942512, 16292976945112, 16292987231512, 16292987241712, true
set, 11568800, 2249900, 9247900, 16292985637812, 16292985641912, 16292987891812, 16292987893812, 16292997141712, 16292997206612, true
get, 14527900, 5312700, 9200200, 16292987320312, 16292987323312, 16292992636012, 16292992638112, 16293001838312, 16293001848212, true
get, 8794800, 479900, 8301700, 16292996101812, 16292996105312, 16292996585212, 16292996586812, 16293004888512, 16293004896612, true
get, 10912500, 2301700, 8597400, 16293005027212, 16293005030212, 16293007331912, 16293007333712, 16293015931112, 16293015939712, true
get, 9381800, 7051700, 2315200, 16293007643112, 16293007646112, 16293014697812, 16293014699612, 16293017014812, 16293017024912, true
get, 11803200, 2496000, 9293400, 16293017958812, 16293017962512, 16293020458512, 16293020460012, 16293029753412, 16293029762012, true
get, 3642300, 1836000, 1791800, 16293033247312, 16293033250612, 16293035086612, 16293035089412, 16293036881212, 16293036889612, true
get, 1903700, 1540600, 349700, 16293046893012, 16293046895912, 16293048436512, 16293048438712, 16293048788412, 16293048796712, true
get, 13099900, 3100700, 9984900, 16293036101712, 16293036105112, 16293039205812, 16293039208012, 16293049192912, 16293049201612, true
get, 4766700, 4229600, 526000, 16293055454412, 16293055457612, 16293059687212, 16293059689112, 16293060215112, 16293060221112, true
set, 1987600, 5600, 1862700, 16293058690112, 16293058694212, 16293058699812, 16293058701612, 16293060564312, 16293060677712, true
get, 1328500, 16100, 1299100, 16293058833112, 16293058837712, 16293058853812, 16293058855712, 16293060154812, 16293060161612, true
get, 7816500, 883900, 6920000, 16293069553912, 16293069557712, 16293070441612, 16293070443712, 16293077363712, 16293077370412, true
get, 936300, 436900, 483900, 16293081023112, 16293081028412, 16293081465312, 16293081467412, 16293081951312, 16293081959412, true
