nr. clients,STDev Repetitions (ops/sec)
50,157.22567729885395
150,284.5274006576525
200,361.8370967052477
230,220.3002336774368
240,190.31948503328027
250,388.25634551586217
300,292.6254792712868
350,455.1063111721801
