nr. clients,Avg. Response Time (us),Standard deviation (us)
4,483.0,418.445
8,526.5,420.625
12,615.5,590.52
16,745.0,1041.15
20,917.0,1392.6950000000002
24,1054.5,1581.315
28,1187.0,1800.8449999999998
32,1272.0,1931.1399999999999
36,1390.5,2042.35
40,1420.0,2072.245
44,1563.0,2211.18
48,1660.5,2283.52
52,1759.0,2382.35
56,1816.5,2373.945
60,1919.0,2512.385
64,1968.5,2666.4849999999997
68,2084.0,2559.0950000000003
72,2185.5,2753.96
76,2403.0,3052.7650000000003
80,2354.0,2795.925
84,2507.0,2844.015
88,2554.5,2818.335
92,2767.0,3164.85
96,2865.0,3114.0950000000003
100,2954.0,3159.065
104,3068.5,3298.045
108,3119.0,3182.56
112,3230.5,3408.58
116,3352.0,3319.665
120,3435.0,3464.92
124,3634.0,3539.53
128,3585.5,3468.4399999999996
