nr. clients,TPS (ops/sec)
4,8263.0
8,15144.0
12,19835.0
16,21657.0
20,21612.0
24,22907.0
28,24086.0
32,24879.0
36,26217.0
40,27291.0
44,27902.0
48,29947.0
52,30132.0
56,30092.0
60,31524.0
64,32358.0
68,31541.0
72,32642.0
76,33266.0
80,33674.0
84,32875.0
88,33886.0
92,32444.0
96,34422.0
100,35190.0
104,34715.0
108,34594.0
112,34797.0
116,33527.0
120,34347.0
124,35031.0
128,34573.0
