nr. clients,TPS (ops/sec)
4,8656.0
8,15058.0
12,19870.0
16,21331.0
20,21965.0
24,22879.0
28,24348.0
32,24716.0
36,26322.0
40,27808.0
44,28638.0
48,29523.0
52,29775.0
56,31534.0
60,31038.0
64,30818.0
68,31528.0
72,32615.0
76,33614.0
80,33286.0
84,33507.0
88,33263.0
92,33596.0
96,33639.0
100,33768.0
104,34924.0
108,33384.0
112,34315.0
116,35129.0
120,34392.0
124,34822.0
128,34592.0
