nr. clients,TPS (ops/sec)
4,8276.0
8,15226.0
12,19489.0
16,21477.0
20,21877.0
24,22686.0
28,23554.0
32,25114.0
36,25837.0
40,28124.0
44,28142.0
48,28879.0
52,29506.0
56,30910.0
60,31209.0
64,32497.0
68,32635.0
72,32902.0
76,31562.0
80,33935.0
84,33505.0
88,34484.0
92,33181.0
96,33456.0
100,33792.0
104,33826.0
108,34552.0
112,34615.0
116,34585.0
120,34870.0
124,34042.0
128,35661.0
