nr. clients,Avg. Response Time (us),Standard deviation (us)
4,470.0,394.78499999999997
8,525.5,414.46500000000003
12,608.0,575.28
16,744.5,1006.6099999999999
20,908.0,1354.935
24,1053.0,1595.0700000000002
28,1168.0,1820.215
32,1259.5,1930.7849999999999
36,1368.0,2019.1950000000002
40,1459.5,2143.125
44,1533.0,2230.67
48,1629.5,2290.19
52,1705.0,2395.68
56,1816.0,2420.7
60,1924.5,2552.4300000000003
64,2026.0,2657.8450000000003
68,2163.0,2696.0299999999997
72,2212.5,2788.7799999999997
76,2324.5,2850.6
80,2485.0,2965.02
84,2512.5,2925.105
88,2642.0,2928.61
92,2645.5,2830.9
96,2835.5,3073.87
100,2923.5,2985.51
104,3101.5,3596.51
108,3048.0,3138.5550000000003
112,3282.5,3338.7349999999997
116,3378.0,3425.7200000000003
120,3473.5,3410.005
124,3530.5,3463.865
128,3723.5,3563.54
