nr. clients,Avg. Response Time (us),Standard deviation (us)
4,461.5,392.745
8,531.0,437.605
12,603.0,595.8050000000001
16,752.5,1039.935
20,912.0,1346.1599999999999
24,1047.5,1606.29
28,1148.0,1744.71
32,1292.5,1980.115
36,1369.5,2005.71
40,1436.0,2139.88
44,1537.0,2205.465
48,1622.5,2269.285
52,1742.5,2339.3050000000003
56,1773.0,2374.185
60,1929.5,2592.31
64,2076.5,2738.04
68,2156.0,2685.36
72,2203.5,2704.9849999999997
76,2259.5,2742.05
80,2408.0,2904.92
84,2506.5,3359.165
88,2640.5,2918.955
92,2735.5,2993.04
96,2849.0,3023.8599999999997
100,2957.0,3288.18
104,2974.0,3071.265
108,3232.5,3401.35
112,3267.5,3312.65
116,3299.0,3282.1549999999997
120,3485.0,3361.235
124,3554.0,3621.3599999999997
128,3694.5,3558.8050000000003
