nr. clients,TPS (ops/sec)
4,8090.0
8,14953.0
12,19822.0
16,22069.0
20,21955.0
24,22512.0
28,23927.0
32,25196.0
36,26347.0
40,27106.0
44,28269.0
48,29207.0
52,30456.0
56,30653.0
60,31554.0
64,32363.0
68,31318.0
72,32015.0
76,32808.0
80,33388.0
84,32545.0
88,33678.0
92,33888.0
96,33858.0
100,33863.0
104,33595.0
108,33788.0
112,34086.0
116,35047.0
120,35060.0
124,34585.0
128,35119.0
