nr. clients,Standard deviation (us)
4,418.445
8,420.625
12,590.52
16,1041.15
20,1392.6950000000002
24,1581.315
28,1800.8449999999998
32,1931.1399999999999
36,2042.35
40,2072.245
44,2211.18
48,2283.52
52,2382.35
56,2373.945
60,2512.385
64,2666.4849999999997
68,2559.0950000000003
72,2753.96
76,3052.7650000000003
80,2795.925
84,2844.015
88,2818.335
92,3164.85
96,3114.0950000000003
100,3159.065
104,3298.045
108,3182.56
112,3408.58
116,3319.665
120,3464.92
124,3539.53
128,3468.4399999999996
