nr. clients,Avg. Response Time (us)
4,495.0
8,537.0
12,603.5
16,724.0
20,908.5
24,1064.5
28,1168.0
32,1268.5
36,1367.0
40,1472.5
44,1553.0
48,1641.0
52,1704.5
56,1824.5
60,1899.0
64,1974.5
68,2172.0
72,2246.5
76,2312.5
80,2391.5
84,2583.5
88,2609.5
92,2710.5
96,2832.5
100,2949.0
104,3089.0
108,3190.0
112,3280.0
116,3306.0
120,3422.5
124,3579.5
128,3638.5
