nr. clients,Avg. Response Time (us)
4,483.0
8,526.5
12,615.5
16,745.0
20,917.0
24,1054.5
28,1187.0
32,1272.0
36,1390.5
40,1420.0
44,1563.0
48,1660.5
52,1759.0
56,1816.5
60,1919.0
64,1968.5
68,2084.0
72,2185.5
76,2403.0
80,2354.0
84,2507.0
88,2554.5
92,2767.0
96,2865.0
100,2954.0
104,3068.5
108,3119.0
112,3230.5
116,3352.0
120,3435.0
124,3634.0
128,3585.5
