nr. clients,TPS (ops/sec)
4,8523.0
8,15225.0
12,19737.0
16,21422.0
20,22033.0
24,22727.0
28,23922.0
32,25362.0
36,26264.0
40,27437.0
44,28645.0
48,29430.0
52,30440.0
56,30782.0
60,31154.0
64,31573.0
68,31373.0
72,32483.0
76,32797.0
80,32123.0
84,33375.0
88,33475.0
92,34752.0
96,33787.0
100,34187.0
104,33475.0
108,35378.0
112,34050.0
116,34283.0
120,34498.0
124,35075.0
128,34317.0
