nr. clients,Standard deviation (us)
4,409.845
8,428.51
12,589.095
16,984.3599999999999
20,1430.505
24,1618.08
28,1784.76
32,1923.5
36,2048.56
40,2143.1850000000004
44,2326.08
48,2201.24
52,2323.065
56,2483.02
60,2500.115
64,2586.085
68,2732.02
72,2626.755
76,2717.0550000000003
80,2743.925
84,3034.3
88,2874.4049999999997
92,3076.3900000000003
96,3087.125
100,2972.535
104,3119.63
108,3442.85
112,3292.12
116,3576.9049999999997
120,3556.2749999999996
124,3648.065
128,3548.0150000000003
