nr. clients,Avg. Response Time (us)
4,470.0
8,525.5
12,608.0
16,744.5
20,908.0
24,1053.0
28,1168.0
32,1259.5
36,1368.0
40,1459.5
44,1533.0
48,1629.5
52,1705.0
56,1816.0
60,1924.5
64,2026.0
68,2163.0
72,2212.5
76,2324.5
80,2485.0
84,2512.5
88,2642.0
92,2645.5
96,2835.5
100,2923.5
104,3101.5
108,3048.0
112,3282.5
116,3378.0
120,3473.5
124,3530.5
128,3723.5
