nr. clients,Standard deviation (us)
4,392.745
8,437.605
12,595.8050000000001
16,1039.935
20,1346.1599999999999
24,1606.29
28,1744.71
32,1980.115
36,2005.71
40,2139.88
44,2205.465
48,2269.285
52,2339.3050000000003
56,2374.185
60,2592.31
64,2738.04
68,2685.36
72,2704.9849999999997
76,2742.05
80,2904.92
84,3359.165
88,2918.955
92,2993.04
96,3023.8599999999997
100,3288.18
104,3071.265
108,3401.35
112,3312.65
116,3282.1549999999997
120,3361.235
124,3621.3599999999997
128,3558.8050000000003
