nr. clients,Avg. Response Time (us)
4,483.5
8,529.0
12,604.5
16,739.5
20,922.5
24,1046.0
28,1160.5
32,1284.0
36,1374.0
40,1462.5
44,1574.0
48,1600.5
52,1723.0
56,1856.5
60,1900.0
64,1977.0
68,2153.5
72,2202.0
76,2284.0
80,2373.0
84,2550.0
88,2593.5
92,2836.5
96,2792.5
100,2838.0
104,2993.0
108,3118.5
112,3213.0
116,3453.0
120,3491.5
124,3540.5
128,3695.5
