nr. clients,Standard deviation (us)
4,411.97
8,446.42499999999995
12,616.375
16,982.065
20,1344.335
24,1645.465
28,1808.1550000000002
32,1930.32
36,1990.74
40,2180.665
44,2218.16
48,2300.86
52,2478.3
56,2378.625
60,2474.605
64,2493.275
68,2831.8199999999997
72,2765.575
76,2742.45
80,2788.88
84,3016.66
88,2951.005
92,2984.625
96,3121.4
100,3161.19
104,3238.66
108,3307.135
112,3351.96
116,3244.9
120,3397.76
124,3625.705
128,3435.75
