nr. clients,Avg. Response Time (us)
4,461.5
8,531.0
12,603.0
16,752.5
20,912.0
24,1047.5
28,1148.0
32,1292.5
36,1369.5
40,1436.0
44,1537.0
48,1622.5
52,1742.5
56,1773.0
60,1929.5
64,2076.5
68,2156.0
72,2203.5
76,2259.5
80,2408.0
84,2506.5
88,2640.5
92,2735.5
96,2849.0
100,2957.0
104,2974.0
108,3232.5
112,3267.5
116,3299.0
120,3485.0
124,3554.0
128,3694.5
