Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success
set, 46354300, 173400, 29650700, 16475418688818, 16475418738918, 16475418912318, 16475418927118, 16475448577818, 16475465043118, true
get, 9233900, 70000, 9127800, 16475470146618, 16475470159418, 16475470229418, 16475470239518, 16475479367318, 16475479380518, true
set, 53167100, 44517800, 8506700, 16475465654818, 16475465663918, 16475510181718, 16475510184418, 16475518691118, 16475518821918, true
get, 8339900, 4666800, 3645700, 16475534123118, 16475534130818, 16475538797618, 16475538800618, 16475542446318, 16475542463018, true
get, 748000, 30400, 689900, 16475619295818, 16475619303818, 16475619334218, 16475619336918, 16475620026818, 16475620043818, true
get, 549200, 93000, 416900, 16475652611918, 16475652620118, 16475652713118, 16475652715818, 16475653132718, 16475653161118, true
get, 9925900, 369200, 9530400, 16475663906618, 16475663914618, 16475664283818, 16475664286718, 16475673817118, 16475673832518, true
get, 6249100, 5619200, 603500, 16475675572818, 16475675580518, 16475681199718, 16475681202118, 16475681805618, 16475681821918, true
get, 4833300, 4093100, 694000, 16475686528418, 16475686535218, 16475690628318, 16475690630918, 16475691324918, 16475691361718, true
get, 3354400, 2643700, 674600, 16475703856318, 16475703865218, 16475706508918, 16475706511118, 16475707185718, 16475707210718, true
get, 5293700, 4986800, 280200, 16475722463718, 16475722472718, 16475727459518, 16475727462218, 16475727742418, 16475727757418, true
get, 365600, 36100, 301200, 16475749332718, 16475749341418, 16475749377518, 16475749380318, 16475749681518, 16475749698318, true
get, 729300, 273600, 425700, 16475768786718, 16475768795418, 16475769069018, 16475769071718, 16475769497418, 16475769516018, true
get, 3925700, 3296500, 603100, 16475781237618, 16475781245218, 16475784541718, 16475784544218, 16475785147318, 16475785163318, true
get, 637600, 53100, 555900, 16475800757018, 16475800765718, 16475800818818, 16475800821418, 16475801377318, 16475801394618, true
get, 327800, 24700, 274000, 16475827752318, 16475827760318, 16475827785018, 16475827787818, 16475828061818, 16475828080118, true
