nr. clients,STDev Resp. Time (us)
180,5569.055807238235
190,5907.937320759908
200,5170.9394874110085
210,5831.36001586053
220,6137.780084032422
230,6766.924225653146
240,6405.555576122141
250,7128.270933123207
