Op, T_total, T_queue, T_server, T_start, T_enqueue, T_dequeue, T_send, T_receive, T_end, Success, Threads Busy
set, 8331600, 455400, 1245600, 1390151850722, 1390158435922, 1390158891322, 1390158893522, 1390160139122, 1390160182322, true, 0
get, 6703800, 3845800, 2834000, 1390151673222, 1390151676722, 1390155522522, 1390155525522, 1390158359522, 1390158377022, true, 21
get, 15886100, 13538000, 2331200, 1390162067822, 1390162070922, 1390175608922, 1390175612822, 1390177944022, 1390177953922, true, 46
get, 16124100, 12847700, 3262400, 1390163587122, 1390163590222, 1390176437922, 1390176439922, 1390179702322, 1390179711222, true, 47
get, 8361900, 7547600, 796200, 1390180012122, 1390180015222, 1390187562822, 1390187564922, 1390188361122, 1390188374022, true, 43
get, 951100, 20000, 916100, 1390189832122, 1390189835522, 1390189855522, 1390189857422, 1390190773522, 1390190783222, true, 24
get, 2800800, 388400, 2398200, 1390201603822, 1390201607222, 1390201995622, 1390201998622, 1390204396822, 1390204404622, true, 43
get, 1447300, 406100, 1024900, 1390212921022, 1390212924322, 1390213330422, 1390213332922, 1390214357822, 1390214368322, true, 41
get, 13886300, 6347900, 7521100, 1390222831322, 1390222834122, 1390229182022, 1390229184222, 1390236705322, 1390236717622, true, 46
get, 15476600, 10216500, 5242400, 1390221373122, 1390221376122, 1390231592622, 1390231596522, 1390236838922, 1390236849722, true, 47
get, 19771800, 9371700, 10384100, 1390237311222, 1390237314822, 1390246686522, 1390246688922, 1390257073022, 1390257083022, true, 47
set, 14970300, 2495800, 12369200, 1390246935722, 1390246938822, 1390249434622, 1390249436122, 1390261805322, 1390261906022, true, 0
get, 18404300, 11980600, 6406000, 1390247718222, 1390247721222, 1390259701822, 1390259703622, 1390266109622, 1390266122522, true, 47
get, 7780300, 5789000, 1975600, 1390258744222, 1390258747022, 1390264536022, 1390264538422, 1390266514022, 1390266524522, true, 43
get, 9841600, 4207500, 5613600, 1390270939122, 1390270941922, 1390275149422, 1390275151422, 1390280765022, 1390280780722, true, 22
get, 4451500, 2917700, 1519200, 1390281715522, 1390281718222, 1390284635922, 1390284638122, 1390286157322, 1390286167022, true, 27
get, 7747800, 6426900, 1308400, 1390294546622, 1390294549322, 1390300976222, 1390300979022, 1390302287422, 1390302294422, true, 41
get, 18009600, 16052200, 1945300, 1390286304822, 1390286307822, 1390302360022, 1390302362122, 1390304307422, 1390304314422, true, 46
get, 9103900, 2375300, 6709800, 1390302386722, 1390302389622, 1390304764922, 1390304767122, 1390311476922, 1390311490622, true, 35
get, 8639100, 7801400, 823200, 1390305175022, 1390305177922, 1390312979322, 1390312981222, 1390313804422, 1390313814122, true, 20
get, 4855500, 4353000, 490200, 1390334911722, 1390334914422, 1390339267422, 1390339269422, 1390339759622, 1390339767222, true, 46
set, 11790400, 46700, 11683100, 1390334014922, 1390334018222, 1390334064922, 1390334066822, 1390345749922, 1390345805322, true, 0
get, 836800, 193900, 630700, 1390345974522, 1390345977522, 1390346171422, 1390346173422, 1390346804122, 1390346811322, true, 38
get, 19077200, 14075600, 4982600, 1390321288522, 1390321291322, 1390335366922, 1390335369322, 1390340351922, 1390340365722, true, 2
get, 484700, 37200, 428300, 1390366672022, 1390366675622, 1390366712822, 1390366716822, 1390367145122, 1390367156722, true, 11
get, 3210700, 2670700, 529000, 1390370042322, 1390370045122, 1390372715822, 1390372717522, 1390373246522, 1390373253022, true, 35
get, 7646000, 315100, 7313500, 1390377894722, 1390377897622, 1390378212722, 1390378214822, 1390385528322, 1390385540722, true, 46
get, 8082600, 7247700, 822700, 1390379254522, 1390379257122, 1390386504822, 1390386507722, 1390387330422, 1390387337122, true, 47
get, 11415200, 1754100, 9648500, 1390387108922, 1390387111922, 1390388866022, 1390388868322, 1390398516822, 1390398524122, true, 24
get, 1561100, 772300, 770600, 1390400934322, 1390400937122, 1390401709422, 1390401712122, 1390402482722, 1390402495422, true, 14
set, 15057600, 2742100, 12220300, 1390404539322, 1390404542222, 1390407284322, 1390407285622, 1390419505922, 1390419596922, true, 0
get, 17120200, 15043900, 2060600, 1390406453722, 1390406456322, 1390421500222, 1390421502622, 1390423563222, 1390423573922, true, 23
get, 17619500, 15743300, 1864600, 1390402535522, 1390402538222, 1390418281522, 1390418284722, 1390420149322, 1390420155022, true, 13
get, 899700, 14700, 873400, 1390429096822, 1390429100422, 1390429115122, 1390429117222, 1390429990622, 1390429996522, true, 4
get, 9614000, 9147100, 450400, 1390446754722, 1390446757422, 1390455904522, 1390455908622, 1390456359022, 1390456368722, true, 40
get, 10275900, 9422000, 842800, 1390447939922, 1390447942622, 1390457364622, 1390457366922, 1390458209722, 1390458215822, true, 47
get, 3731300, 2333700, 1387100, 1390458524522, 1390458527222, 1390460860922, 1390460862922, 1390462250022, 1390462255822, true, 46
get, 1588800, 1022400, 556500, 1390460708022, 1390460710722, 1390461733122, 1390461734822, 1390462291322, 1390462296822, true, 47
get, 2327000, 880400, 1436900, 1390463259822, 1390463262422, 1390464142822, 1390464144722, 1390465581622, 1390465586822, true, 47
get, 9156100, 1437100, 7708000, 1390474073022, 1390474075622, 1390475512722, 1390475514922, 1390483222922, 1390483229122, true, 17
get, 4212600, 2797700, 1401600, 1390483334822, 1390483337422, 1390486135122, 1390486138322, 1390487539922, 1390487547422, true, 20
get, 15143700, 8176100, 6953900, 1390485708622, 1390485711222, 1390493887322, 1390493890322, 1390500844222, 1390500852322, true, 47
get, 3213900, 1973100, 1229600, 1390498729622, 1390498732122, 1390500705222, 1390500707822, 1390501937422, 1390501943522, true, 47
set, 4329600, 2742200, 1540400, 1390498597022, 1390498599622, 1390501341822, 1390501343122, 1390502883522, 1390502926622, true, 0
get, 2961900, 2074800, 876400, 1390500979122, 1390500982022, 1390503056822, 1390503058822, 1390503935222, 1390503941022, true, 47
get, 1643500, 639900, 989800, 1390515188222, 1390515190722, 1390515830622, 1390515833922, 1390516823722, 1390516831722, true, 19
get, 413000, 22400, 373600, 1390521562322, 1390521566222, 1390521588622, 1390521591922, 1390521965522, 1390521975322, true, 11
get, 3984000, 1732700, 2239600, 1390540560322, 1390540563122, 1390542295822, 1390542297122, 1390544536722, 1390544544322, true, 42
get, 5260700, 2921900, 2327700, 1390542178522, 1390542180822, 1390545102722, 1390545103922, 1390547431622, 1390547439222, true, 47
get, 6276600, 4978500, 1288600, 1390544880722, 1390544883022, 1390549861522, 1390549862622, 1390551151222, 1390551157322, true, 27
get, 1201800, 620900, 570800, 1390558388222, 1390558390822, 1390559011722, 1390559012822, 1390559583622, 1390559590022, true, 39
get, 7510000, 7130000, 370500, 1390559702622, 1390559704822, 1390566834822, 1390566836122, 1390567206622, 1390567212622, true, 47
set, 11364800, 2606300, 8684900, 1390559121522, 1390559123822, 1390561730122, 1390561731122, 1390570416022, 1390570486322, true, 0
get, 15689400, 14730500, 948800, 1390567452222, 1390567454722, 1390582185222, 1390582186422, 1390583135222, 1390583141622, true, 47
get, 3544500, 1594400, 1942100, 1390582558822, 1390582560322, 1390584154722, 1390584155822, 1390586097922, 1390586103322, true, 47
get, 9075700, 3159700, 5906500, 1390584909222, 1390584910722, 1390588070422, 1390588071622, 1390593978122, 1390593984922, true, 47
get, 10377100, 1196100, 655600, 1390589900222, 1390598405922, 1390599602022, 1390599603522, 1390600259122, 1390600277322, true, 47
get, 11974700, 2950700, 9015600, 1390599783322, 1390599784622, 1390602735322, 1390602736522, 1390611752122, 1390611758022, true, 47
get, 16277700, 8441000, 7647700, 1390603609222, 1390603610622, 1390612051622, 1390612052822, 1390619700522, 1390619886922, true, 47
get, 13291800, 3666700, 9585300, 1390611836522, 1390611862022, 1390615528722, 1390615530222, 1390625115522, 1390625128322, true, 40
get, 9562000, 1986400, 7568000, 1390623127622, 1390623128922, 1390625115322, 1390625116522, 1390632684522, 1390632689622, true, 47
get, 17184800, 16282500, 890100, 1390624582322, 1390624584722, 1390640867222, 1390640868822, 1390641758922, 1390641767122, true, 47
get, 3002300, 1669000, 1325200, 1390640716222, 1390640717522, 1390642386522, 1390642387722, 1390643712922, 1390643718522, true, 47
set, 4924300, 2190500, 2688700, 1390640239122, 1390640240522, 1390642431022, 1390642439922, 1390645128622, 1390645163422, true, 0
get, 10055100, 2528500, 7514000, 1390644051622, 1390644053022, 1390646581522, 1390646582722, 1390654096722, 1390654106722, true, 47
get, 11673500, 10057600, 1604600, 1390647002622, 1390647003922, 1390657061522, 1390657062722, 1390658667322, 1390658676122, true, 46
get, 2296700, 1317400, 971100, 1390659037222, 1390659038622, 1390660356022, 1390660357022, 1390661328122, 1390661333922, true, 47
get, 9485300, 8675000, 797500, 1390663060422, 1390663061822, 1390671736822, 1390671738322, 1390672535822, 1390672545722, true, 34
get, 3980900, 3219300, 747700, 1390674309022, 1390674310422, 1390677529722, 1390677531122, 1390678278822, 1390678289922, true, 47
get, 7082900, 5110400, 1964500, 1390674971322, 1390674972622, 1390680083022, 1390680084022, 1390682048522, 1390682054222, true, 47
get, 6834300, 3628500, 3197600, 1390679591922, 1390679593222, 1390683221722, 1390683222722, 1390686420322, 1390686426222, true, 47
set, 12377000, 2759000, 9491100, 1390682046222, 1390682048422, 1390684807422, 1390684808522, 1390694299622, 1390694423222, true, 0
get, 9255800, 8269000, 968200, 1390686491322, 1390686492922, 1390694761922, 1390694763322, 1390695731522, 1390695747122, true, 25
get, 4698300, 3150900, 1538400, 1390697777322, 1390697778722, 1390700929622, 1390700930822, 1390702469222, 1390702475622, true, 43
get, 7839800, 6509200, 1322000, 1390698325022, 1390698326322, 1390704835522, 1390704836522, 1390706158522, 1390706164822, true, 45
get, 4127000, 2552100, 1560200, 1390703137222, 1390703138522, 1390705690622, 1390705691822, 1390707252022, 1390707264222, true, 45
get, 7100500, 4428800, 2638700, 1390705355222, 1390705356522, 1390709785322, 1390709786322, 1390712425022, 1390712455722, true, 32
get, 3639300, 3066300, 562900, 1390714940222, 1390714941622, 1390718007922, 1390718009222, 1390718572122, 1390718579522, true, 47
get, 3706200, 2012900, 1684500, 1390719089322, 1390719090722, 1390721103622, 1390721104722, 1390722789222, 1390722795522, true, 47
get, 5276800, 4141500, 1127000, 1390720949422, 1390720950822, 1390725092322, 1390725093422, 1390726220422, 1390726226222, true, 46
get, 10621700, 10061800, 546800, 1390725786322, 1390725787622, 1390735849422, 1390735854422, 1390736401222, 1390736408022, true, 43
set, 11426500, 1037500, 10284600, 1390726271422, 1390726272822, 1390727310322, 1390727311322, 1390737595922, 1390737697922, true, 0
get, 2837500, 1340700, 1484400, 1390736550522, 1390736551922, 1390737892622, 1390737893622, 1390739378022, 1390739388022, true, 47
get, 6333600, 4910500, 1413000, 1390737419522, 1390737420722, 1390742331222, 1390742332222, 1390743745222, 1390743753122, true, 47
get, 11552800, 2092500, 9438300, 1390741909122, 1390741911222, 1390744003722, 1390744005122, 1390753443422, 1390753461922, true, 47
get, 2707900, 1531600, 1162700, 1390753617822, 1390753619222, 1390755150822, 1390755151822, 1390756314522, 1390756325722, true, 47
get, 8172700, 7704200, 458900, 1390755540322, 1390755541622, 1390763245822, 1390763246922, 1390763705822, 1390763713022, true, 47
get, 13094600, 11677400, 1408300, 1390764493822, 1390764495222, 1390776172622, 1390776173722, 1390777582022, 1390777588422, true, 47
get, 6033000, 3909000, 2115200, 1390773722922, 1390773724222, 1390777633222, 1390777634222, 1390779749422, 1390779755922, true, 47
get, 5892900, 4548600, 1331800, 1390776987822, 1390776989122, 1390781537722, 1390781538822, 1390782870622, 1390782880722, true, 47
get, 8792400, 2447900, 6336300, 1390781746622, 1390781747922, 1390784195822, 1390784196922, 1390790533222, 1390790539022, true, 36
set, 7941300, 4800, 7875400, 1390783023022, 1390783024322, 1390783029122, 1390783030322, 1390790905722, 1390790964322, true, 0
get, 1393700, 42300, 1340600, 1390793293822, 1390793295422, 1390793337722, 1390793339122, 1390794679722, 1390794687522, true, 47
get, 8027000, 931800, 7085200, 1390794239722, 1390794241122, 1390795172922, 1390795173922, 1390802259122, 1390802266722, true, 47
get, 13456300, 6910100, 6528800, 1390802514122, 1390802515522, 1390809425622, 1390809427022, 1390815955822, 1390815970422, true, 42
get, 8391100, 16700, 8366300, 1390818023422, 1390818025022, 1390818041722, 1390818043122, 1390826409422, 1390826414522, true, 47
get, 8437500, 7490700, 938100, 1390818922622, 1390818924022, 1390826414722, 1390826415722, 1390827353822, 1390827360122, true, 47
get, 7652600, 6822600, 820000, 1390828569922, 1390828572122, 1390835394722, 1390835395822, 1390836215822, 1390836222522, true, 46
get, 1555400, 852300, 695700, 1390841906322, 1390841907722, 1390842760022, 1390842761222, 1390843456922, 1390843461722, true, 47
get, 819000, 50900, 758300, 1390851819522, 1390851820922, 1390851871822, 1390851873822, 1390852632122, 1390852638522, true, 47
get, 830300, 397600, 425900, 1390860676322, 1390860677722, 1390861075322, 1390861076422, 1390861502322, 1390861506622, true, 38
set, 797000, 2000, 744400, 1390860883422, 1390860884722, 1390860886722, 1390860887722, 1390861632122, 1390861680422, true, 0
get, 6086500, 46600, 6020800, 1390856414422, 1390856417322, 1390856463922, 1390856466022, 1390862486822, 1390862500922, true, 16
get, 4555900, 2201000, 2342000, 1390869310822, 1390869312222, 1390871513222, 1390871514422, 1390873856422, 1390873866722, true, 47
get, 12455400, 11802600, 642000, 1390869874922, 1390869876222, 1390881678822, 1390881680122, 1390882322122, 1390882330322, true, 47
get, 2428000, 1494600, 926300, 1390880571122, 1390880572522, 1390882067122, 1390882068122, 1390882994422, 1390882999122, true, 47
get, 9757900, 8287400, 1461200, 1390883075122, 1390883076422, 1390891363822, 1390891364922, 1390892826122, 1390892833022, true, 47
get, 3014700, 2030400, 976300, 1390891879222, 1390891880622, 1390893911022, 1390893912022, 1390894888322, 1390894893922, true, 47
get, 3253900, 2305200, 935500, 1390894517122, 1390894518622, 1390896823822, 1390896825022, 1390897760522, 1390897771022, true, 47
get, 7029400, 2964500, 4055200, 1390896617022, 1390896618322, 1390899582822, 1390899583822, 1390903639022, 1390903646422, true, 47
get, 18493200, 16336500, 2145700, 1390903702822, 1390903704222, 1390920040722, 1390920041822, 1390922187522, 1390922196022, true, 47
set, 10609100, 2257400, 8312600, 1390920020222, 1390920021522, 1390922278922, 1390922279922, 1390930592522, 1390930629322, true, 0
get, 9064300, 7419900, 1636200, 1390921975322, 1390921976722, 1390929396622, 1390929397722, 1390931033922, 1390931039622, true, 47
get, 2884000, 2006800, 863900, 1390931629222, 1390931630522, 1390933637322, 1390933638422, 1390934502322, 1390934513222, true, 47
get, 4288000, 1643300, 2312400, 1390933545822, 1390933871122, 1390935514422, 1390935515422, 1390937827822, 1390937833822, true, 47
get, 404400, 86900, 309200, 1390944195322, 1390944196622, 1390944283522, 1390944284622, 1390944593822, 1390944599722, true, 30
get, 5931100, 4937400, 984700, 1390945417722, 1390945419022, 1390950356422, 1390950357522, 1390951342222, 1390951348822, true, 42
get, 10568000, 8678700, 1879200, 1390953764522, 1390953765822, 1390962444522, 1390962445722, 1390964324922, 1390964332522, true, 13
get, 7335800, 96100, 7232400, 1390965687322, 1390965688722, 1390965784822, 1390965785822, 1390973018222, 1390973023122, true, 47
get, 11715500, 3772400, 7934500, 1390973079022, 1390973080322, 1390976852722, 1390976853722, 1390984788222, 1390984794522, true, 47
get, 9750600, 8576900, 1164200, 1390977077422, 1390977079222, 1390985656122, 1390985657122, 1390986821322, 1390986828022, true, 47
get, 11449400, 2610700, 8830100, 1390985198622, 1390985199922, 1390987810622, 1390987811622, 1390996641722, 1390996648022, true, 47
get, 2573300, 1290700, 1275500, 1390996532622, 1390996534022, 1390997824722, 1390997825722, 1390999101222, 1390999105922, true, 47
set, 19312300, 2122200, 17116100, 1390985677322, 1390985679322, 1390987801522, 1390987802522, 1391004918622, 1391004989622, true, 0
get, 8608200, 7627800, 970200, 1390998841422, 1390998843322, 1391006471122, 1391006472522, 1391007442722, 1391007449622, true, 47
get, 1747200, 1327000, 412500, 1391007077922, 1391007079422, 1391008406422, 1391008407522, 1391008820022, 1391008825122, true, 47
get, 1902700, 172700, 1554600, 1391012671722, 1391012673122, 1391012845822, 1391013012122, 1391014566722, 1391014574422, true, 47
get, 4343400, 54800, 4280300, 1391021672822, 1391021674522, 1391021729322, 1391021730722, 1391026011022, 1391026016222, true, 28
get, 11773600, 4479600, 7284800, 1391026034522, 1391026035822, 1391030515422, 1391030516422, 1391037801222, 1391037808122, true, 43
get, 502800, 179700, 310000, 1391041166122, 1391041167522, 1391041347222, 1391041349522, 1391041659522, 1391041668922, true, 8
get, 12769100, 642600, 12061600, 1391046736022, 1391046737422, 1391047380022, 1391047381222, 1391059442822, 1391059505122, true, 32
